participant_id,first_name,last_name,gender,age,grade,region,district,school,language,family_type,round_1_score,passed_round_1,round_2_score,status
P00001,Дана,Бекенов,F,11,5,Жетысуская область,Северный район,Школа №5,kk,full,62.5,False,,eliminated
P00002,Шынгыс,Темирбеков,M,14,8,г. Алматы,Северный район,Школа №5,kk,full,52.9,False,,eliminated
P00003,Аяна,Маратов,F,17,11,Павлодарская область,Южный район,Школа №2,kk,full,64.7,False,,eliminated
P00004,Ержан,Сатпаев,M,15,9,Западно-Казахстанская область,Сельский район,Школа №4,kk,full,77.8,True,61.0,finalist
P00005,Ержан,Сатпаев,M,15,10,Жамбылская область,Заречный район,Школа №2,kk,single,45.5,False,,eliminated
P00006,Меруерт,Касенов,F,14,9,Кызылординская область,Северный район,Школа №2,kk,full,51.5,False,,eliminated
P00007,Артём,Новиков,M,12,6,Мангистауская область,Южный район,Школа №5,ru,single,72.7,True,77.6,finalist
P00008,Айдана,Кадыров,F,17,11,Мангистауская область,Южный район,Школа №5,kk,full,66.5,True,70.9,finalist
P00009,Ольга,Смирнова,F,16,9,Западно-Казахстанская область,Северный район,Школа №5,ru,full,48.0,False,,eliminated
P00010,Аружан,Тулегенов,F,12,6,Туркестанская область,Центральный район,Школа №1,kk,single,57.1,False,,eliminated
P00011,Жаныбек,Сатпаев,M,16,11,Северо-Казахстанская область,Западный район,Школа №5,kk,full,48.0,False,,eliminated
P00012,Дмитрий,Попов,M,10,4,Алматинская область,Южный район,Школа №4,ru,single,42.0,False,,eliminated
P00013,Алтынай,Касенов,F,12,6,Карагандинская область,Сельский район,Школа №5,kk,single,52.6,False,,eliminated
P00014,Полина,Иванова,F,17,11,г. Шымкент,Южный район,Школа №1,ru,full,26.3,False,,eliminated
P00015,Алихан,Сериков,M,16,10,Туркестанская область,Сельский район,Школа №5,kk,full,29.1,False,,eliminated
P00016,Сабина,Сатпаев,F,16,10,Павлодарская область,Северный район,Школа №2,kk,single,40.6,False,,eliminated
P00017,Сабина,Абилов,F,11,4,Алматинская область,Северный район,Школа №3,kk,full,39.8,False,,eliminated
P00018,Айдар,Бекенов,M,15,9,Актюбинская область,Центральный район,Школа №1,kk,full,59.7,False,,eliminated
P00019,Тимур,Сатпаев,M,11,6,Туркестанская область,Северный район,Школа №4,kk,full,41.4,False,,eliminated
P00020,Айдар,Касенов,M,15,10,Алматинская область,Центральный район,Школа №3,kk,full,33.8,False,,eliminated
P00021,Нурлан,Алиев,M,15,8,Западно-Казахстанская область,Восточный район,Школа №1,kk,full,77.0,True,64.3,finalist
P00022,Айгерим,Сериков,F,12,6,Жетысуская область,Северный район,Школа №4,kk,single,45.6,False,,eliminated
P00023,Жаныбек,Жумабеков,M,15,9,Северо-Казахстанская область,Южный район,Школа №5,kk,full,56.0,False,,eliminated
P00024,Никита,Морозов,M,16,9,Акмолинская область,Заречный район,Школа №1,ru,single,27.6,False,,eliminated
P00025,Сабина,Сериков,F,15,8,Восточно-Казахстанская область,Центральный район,Школа №2,kk,full,46.8,False,,eliminated
P00026,Малика,Касенов,F,12,6,г. Астана,Западный район,Школа №3,kk,full,56.7,False,,eliminated
P00027,Дмитрий,Новиков,M,15,8,Костанайская область,Сельский район,Школа №1,ru,single,31.7,False,,eliminated
P00028,Дамир,Алиев,M,13,7,Кызылординская область,Центральный район,Школа №3,kk,single,54.6,False,,eliminated
P00029,Сабина,Темирбеков,F,17,11,г. Алматы,Южный район,Школа №1,kk,full,46.0,False,,eliminated
P00030,Дарья,Соколова,F,12,6,Карагандинская область,Западный район,Школа №3,ru,full,50.6,False,,eliminated
P00031,Александр,Петров,M,13,7,Павлодарская область,Сельский район,Школа №1,ru,full,46.0,False,,eliminated
P00032,Михаил,Лебедев,M,15,9,г. Алматы,Центральный район,Школа №2,ru,full,82.8,True,80.1,finalist
P00033,Данияр,Кадыров,M,15,9,Акмолинская область,Южный район,Школа №2,kk,single,48.8,False,,eliminated
P00034,Эльмира,Маратов,F,16,11,Атырауская область,Северный район,Школа №2,kk,full,39.1,False,,eliminated
P00035,Мария,Кузнецова,F,13,8,Западно-Казахстанская область,Северный район,Школа №1,ru,single,61.3,False,,eliminated
P00036,Максим,Попов,M,12,6,Карагандинская область,Сельский район,Школа №2,ru,full,36.7,False,,eliminated
P00037,Дамир,Кадыров,M,12,7,Улытауская область,Восточный район,Школа №5,kk,full,58.1,False,,eliminated
P00038,Дана,Темирбеков,F,15,8,Алматинская область,Западный район,Школа №3,kk,full,25.6,False,,eliminated
P00039,Айдана,Маратов,F,16,10,Павлодарская область,Центральный район,Школа №5,kk,full,35.1,False,,eliminated
P00040,Иван,Волков,M,15,9,Костанайская область,Заречный район,Школа №3,ru,full,58.0,False,,eliminated
P00041,Балжан,Нурланов,F,15,9,Мангистауская область,Заречный район,Школа №2,kk,full,66.1,True,71.0,finalist
P00042,Балжан,Нурланов,F,14,8,г. Астана,Западный район,Школа №4,kk,full,57.6,False,,eliminated
P00043,Дарья,Петрова,F,13,7,Карагандинская область,Западный район,Школа №5,ru,full,53.3,False,,eliminated
P00044,Адильхан,Темирбеков,M,15,8,Жетысуская область,Восточный район,Школа №1,kk,full,50.5,False,,eliminated
P00045,Гульнара,Алиев,F,16,10,Абайская область,Сельский район,Школа №1,kk,full,32.8,False,,eliminated
P00046,Айдана,Тулегенов,F,17,10,Жетысуская область,Сельский район,Школа №2,kk,single,38.2,False,,eliminated
P00047,Ольга,Волкова,F,14,8,Улытауская область,Восточный район,Школа №5,ru,single,42.1,False,,eliminated
P00048,Бекжан,Касенов,M,15,9,Западно-Казахстанская область,Сельский район,Школа №4,kk,full,70.9,True,64.7,finalist
P00049,Динара,Кадыров,F,14,8,г. Алматы,Центральный район,Школа №2,kk,single,54.2,False,,eliminated
P00050,Темирлан,Абилов,M,15,8,Павлодарская область,Центральный район,Школа №4,kk,single,22.6,False,,eliminated
P00051,Никита,Лебедев,M,16,10,Туркестанская область,Центральный район,Школа №3,ru,full,59.9,False,,eliminated
P00052,Екатерина,Новикова,F,14,8,Жетысуская область,Южный район,Школа №1,ru,single,43.2,False,,eliminated
P00053,София,Морозова,F,11,5,Абайская область,Восточный район,Школа №1,ru,full,44.8,False,,eliminated
P00054,Жаныбек,Кадыров,M,13,7,Жамбылская область,Восточный район,Школа №4,kk,full,64.2,False,,eliminated
