participant_id,first_name,last_name,gender,region,district,school,language,family_type,round_1_score,passed_round_1,round_2_score,status
P00065,София,Морозова,F,Абайская область,Восточный район,Школа №1,ru,full,67.2,True,73.9,finalist
P00226,Алмат,Бекенов,M,Абайская область,Восточный район,Школа №2,kk,full,71.3,True,52.1,finalist
P00375,Дана,Алиев,F,Абайская область,Южный район,Школа №1,kk,single,81.3,True,70.2,finalist
P00739,Дарья,Смирнова,F,Абайская область,Восточный район,Школа №1,ru,single,74.0,True,57.5,finalist
P00768,Ксения,Смирнова,F,Абайская область,Заречный район,Школа №5,ru,full,81.6,True,64.0,finalist
P00945,Адильхан,Бекенов,M,Абайская область,Сельский район,Школа №3,kk,full,82.7,True,70.9,finalist
P01007,Мария,Иванова,F,Абайская область,Южный район,Школа №2,ru,full,68.4,True,61.1,finalist
P01294,Жансая,Сатпаев,F,Абайская область,Северный район,Школа №4,kk,full,67.6,True,70.2,finalist
P01495,Аяна,Абилов,F,Абайская область,Южный район,Школа №5,kk,full,78.1,True,52.7,finalist
P01526,Алмат,Абилов,M,Абайская область,Центральный район,Школа №4,kk,full,71.3,True,68.4,finalist
P01528,Жаныбек,Абилов,M,Абайская область,Южный район,Школа №3,kk,full,78.1,True,64.5,finalist
P01686,Жаныбек,Тулегенов,M,Абайская область,Заречный район,Школа №3,kk,full,72.8,True,66.7,finalist
P01847,Олжас,Бекенов,M,Абайская область,Западный район,Школа №3,kk,full,74.0,True,66.1,finalist
P01875,Дмитрий,Лебедев,M,Абайская область,Центральный район,Школа №1,ru,full,74.7,True,48.8,finalist
P02146,Ольга,Попова,F,Абайская область,Заречный район,Школа №1,ru,full,77.3,True,70.7,finalist
P02159,Михаил,Новиков,M,Абайская область,Восточный район,Школа №2,ru,single,68.2,True,54.7,finalist
P02184,Санжар,Алиев,M,Абайская область,Сельский район,Школа №2,kk,single,69.6,True,53.8,finalist
P02213,София,Попова,F,Абайская область,Северный район,Школа №1,ru,full,68.2,True,49.5,finalist
P02306,Айгерим,Алиев,F,Абайская область,Южный район,Школа №2,kk,full,100.0,True,28.5,finalist
P02346,Айгерим,Бекенов,F,Абайская область,Северный район,Школа №4,kk,full,71.5,True,52.8,finalist
P02406,Нурлан,Касенов,M,Абайская область,Сельский район,Школа №3,kk,single,69.1,True,85.0,finalist
P02421,Наргиз,Маратов,F,Абайская область,Заречный район,Школа №4,kk,full,70.7,True,59.9,finalist
P02429,Гульнара,Кадыров,F,Абайская область,Восточный район,Школа №2,kk,full,71.9,True,67.4,finalist
P02537,Меруерт,Темирбеков,F,Абайская область,Южный район,Школа №5,kk,full,69.6,True,59.8,finalist
P02580,Мария,Петрова,F,Абайская область,Восточный район,Школа №2,ru,full,81.4,True,47.9,finalist
P02706,Айгерим,Касенов,F,Абайская область,Восточный район,Школа №5,kk,full,70.7,True,61.4,finalist
P02852,Санжар,Сатпаев,M,Абайская область,Северный район,Школа №2,kk,full,67.5,True,61.3,finalist
P02914,Никита,Смирнов,M,Абайская область,Центральный район,Школа №4,ru,full,66.4,True,71.5,finalist
P03242,Дмитрий,Попов,M,Абайская область,Заречный район,Школа №4,ru,full,98.0,True,64.9,finalist
P03497,Рамазан,Алиев,M,Абайская область,Заречный район,Школа №5,kk,full,67.2,True,71.4,finalist
P03667,Темирлан,Жумабеков,M,Абайская область, Восточный район ,Школа №5,kk,full,66.0,True,53.2,finalist
P03672,Михаил,Морозов,M,Абайская область,Сельский район,Школа №4,ru,full,68.1,True,83.8,finalist
P03837,Никита,Волков,M,Абайская область,Центральный район,Школа №3,ru,single,67.6,True,58.4,finalist
P04042,Никита,Петров,M,Абайская область,Западный район,Школа №1,ru,full,66.5,True,68.5,finalist
P04155,Аян,Маратов,M,Абайская область,Центральный район,Школа №1,kk,full,69.9,True,61.5,finalist
P04341,Айгерим,Сатпаев,F,Абайская область,Восточный район,Школа №5,kk,full,69.1,True,53.8,finalist
P04552,Малика,Абилов,F,Абайская область,Восточный район,Школа №5,kk,full,67.6,True,65.9,finalist
P04707,Томирис,Алиев,F,Абайская область,Северный район,Школа №3,kk,single,70.1,True,83.7,finalist
P04709,Алтынай,Бекенов,F,Абайская область,Южный район,Школа №5,kk,full,69.3,True,48.9,finalist
P04800,Никита,Иванов,M,Абайская область,Центральный район,Школа №1,ru,full,66.1,True,50.8,finalist
P04809,Динара,Кадыров,F,Абайская область,Сельский район,Школа №1,kk,full,76.4,True,40.1,finalist
P04811,Анастасия,Петрова,F,Абайская область,Восточный район,Школа №2,ru,full,66.3,True,58.2,finalist
P04856,Дана,Жумабеков,F,Абайская область,Сельский район,Школа №1,kk,full,90.2,True,72.1,finalist
P04871,Анна,Морозова,F,Абайская область,Центральный район,Школа №3,ru,full,100.0,True,65.7,finalist
P04946,Елена,Смирнова,F,Абайская область,Западный район,Школа №1,ru,full,70.6,True,43.6,finalist
