participant_id,first_name,last_name,gender,age,grade,region,district,school,language,family_type,round_1_score,passed_round_1,round_2_score,status
P00203,Алина,Абилов,F,16,10,Акмолинская область,Южный район,Школа №2,kk,full,71.2,True,66.8,finalist
P00221,Олжас,Кадыров,M,17,11,Акмолинская область,Западный район,Школа №5,kk,full,89.7,True,86.4,finalist
P00260,Бауыржан,Бекенов,M,15,9,Акмолинская область,Западный район,Школа №3,kk,full,66.6,True,89.3,finalist
P00553,Аружан,Жумабеков,F,11,4,Акмолинская область,Южный район,Школа №1,kk,single,66.5,True,62.9,finalist
P00584,Балжан,Алиев,F,13,7,Акмолинская область, Северный район ,Школа №5,kk,full,89.1,True,69.7,finalist
P00809,Анна,Лебедева,F,14,7,Акмолинская область,Северный район,Школа №2,ru,full,73.8,True,97.4,finalist
P00863,Динара,Сатпаев,F,14,8,Акмолинская область,Сельский район,Школа №3,kk,full,78.2,True,61.0,finalist
P01050,Бауыржан,Кадыров,M,16,11,Акмолинская область,Северный район,Школа №3,kk,full,75.7,True,54.7,finalist
P01075,Аяна,Кадыров,F,11,4,Акмолинская область,Южный район,Школа №5,kk,full,69.9,True,85.5,finalist
P01166,Данияр,Касенов,M,15,9,Акмолинская область,Западный район,Школа №1,kk,full,91.6,True,57.7,finalist
P01313,Гульнара,Касенов,F,15,9,Акмолинская область,Западный район,Школа №1,kk,single,69.9,True,50.1,finalist
P01452,Данияр,Кадыров,M,17,11,Акмолинская область,Сельский район,Школа №1,kk,full,80.5,True,76.6,finalist
P01508,Гульнара,Алиев,F,16,10,Акмолинская область,Северный район,Школа №1,kk,full,69.3,True,70.9,finalist
P01520,Бекжан,Кадыров,M,17,10,Акмолинская область,Сельский район,Школа №4,kk,full,82.8,True,69.1,finalist
P01543,Олжас,Темирбеков,M,17,11,Акмолинская область,Западный район,Школа №3,kk,full,79.9,True,44.0,finalist
P01679,Алмат,Кадыров,M,10,4,Акмолинская область,Восточный район,Школа №5,kk,full,70.0,True,57.2,finalist
P01693,Балжан,Абилов,F,15,10,Акмолинская область,Западный район,Школа №5,kk,full,68.1,True,62.1,finalist
P01847,Дамир,Темирбеков,M,16,10,Акмолинская область,Сельский район,Школа №3,kk,single,68.0,True,66.1,finalist
P01862,Андрей,Морозов,M,13,7,Акмолинская область,Южный район,Школа №4,ru,full,67.2,True,87.2,finalist
P01865,Дамир,Абилов,M,11,5,Акмолинская область,Южный район,Школа №5,kk,single,68.6,True,64.9,finalist
P01903,Ерасыл,Бекенов,M,11,6,Акмолинская область,Северный район,Школа №3,kk,single,66.6,True,70.1,finalist
P02072,Алтынай,Сериков,F,13,7,Акмолинская область,Северный район,Школа №3,kk,full,73.5,True,53.8,finalist
P02104,Ольга,Волкова,F,17,10,Акмолинская область,Восточный район,Школа №1,ru,single,65.9,True,61.4,finalist
P02152,Наргиз,Касенов,F,11,5,Акмолинская область,Южный район,Школа №4,kk,single,73.9,True,73.9,finalist
P02184,Елена,Кузнецова,F,15,8,Акмолинская область,Заречный район,Школа №1,ru,full,75.6,True,53.8,finalist
P02201,Екатерина,Лебедева,F,16,9,Акмолинская область,Восточный район,Школа №4,ru,single,76.1,True,66.7,finalist
P02232,Полина,Новикова,F,16,9,Акмолинская область,Западный район,Школа №1,ru,full,66.9,True,85.3,finalist
P02234,Ерасыл,Тулегенов,M,12,7,Акмолинская область,Южный район,Школа №4,kk,full,68.4,True,73.7,finalist
P02292,Михаил,Лебедев,M,17,10,Акмолинская область,Северный район,Школа №3,ru,full,69.7,True,57.3,finalist
P02462,Санжар,Маратов,M,18,11,Акмолинская область,Западный район,Школа №2,kk,full,66.1,True,64.6,finalist
P02496,Данияр,Тулегенов,M,13,7,Акмолинская область,Северный район,Школа №2,kk,full,67.2,True,59.0,finalist
P02622,Артём,Попов,M,15,9,Акмолинская область,Сельский район,Школа №2,ru,full,66.8,True,58.9,finalist
P02718,Иван,Лебедев,M,15,9,Акмолинская область,Центральный район,Школа №2,ru,full,68.3,True,79.1,finalist
P02752,Санжар,Абилов,M,13,7,Акмолинская область,Западный район,Школа №2,kk,full,78.6,True,68.8,finalist
P02916,Дана,Маратов,F,14,8,Акмолинская область,Заречный район,Школа №3,kk,full,82.7,True,65.0,finalist
P03242,Артём,Кузнецов,M,15,9,Акмолинская область,Северный район,Школа №5,ru,full,98.0,True,64.9,finalist
P03531,Шынгыс,Абилов,M,13,6,Акмолинская область,Западный район,Школа №4,kk,full,77.5,True,54.4,finalist
P03598,Адильхан,Жумабеков,M,13,6,Акмолинская область,Северный район,Школа №4,kk,full,70.1,True,77.6,finalist
P04197,Михаил,Новиков,M,15,9,Акмолинская область, Сельский район ,Школа №1,ru,full,71.5,True,83.4,finalist
P04227,Меруерт,Сатпаев,F,13,7,Акмолинская область,Южный район,Школа №3,kk,full,83.0,True,59.1,finalist
P04318,Гульнара,Тулегенов,F,15,9,Акмолинская область,Центральный район,Школа №1,kk,full,71.9,True,53.0,finalist
P04588,Айдана,Кадыров,F,12,6,Акмолинская область,Заречный район,Школа №5,kk,full,68.8,True,72.0,finalist
P04622,Камила,Маратов,F,12,6,Акмолинская область,Заречный район,Школа №4,kk,full,80.9,True,58.9,finalist
P04721,Меруерт,Сатпаев,F,16,10,Акмолинская область,Восточный район,Школа №1,kk,full,70.1,True,61.1,finalist
P04811,Алихан,Бекенов,M,14,8,Акмолинская область,Центральный район,Школа №1,kk,full,66.3,True,58.2,finalist
