participant_id,first_name,last_name,gender,region,district,school,language,family_type,round_1_score,passed_round_1,round_2_score,status
P00004,Ерасыл,Сериков,M,Актюбинская область,Восточный район,Школа №3,kk,full,77.8,True,61.0,finalist
P00142,Алина,Сериков,F,Актюбинская область,Восточный район,Школа №3,kk,single,68.6,True,71.4,finalist
P00162,Данияр,Сериков,M,Актюбинская область,Западный район,Школа №4,kk,full,66.8,True,40.1,finalist
P00307,Максим,Попов,M,Актюбинская область,Южный район,Школа №1,ru,full,74.2,True,63.5,finalist
P00421,Алтынай,Абилов,F,Актюбинская область,Южный район,Школа №3,kk,single,79.9,True,65.4,finalist
P00479,Михаил,Попов,M,Актюбинская область,Сельский район,Школа №5,ru,full,100.0,True,59.2,finalist
P00610,Екатерина,Кузнецова,F,Актюбинская область,Южный район,Школа №3,ru,full,77.4,True,65.5,finalist
P00678,Сауле,Касенов,F,Актюбинская область,Сельский район,Школа №4,kk,full,81.3,True,81.1,finalist
P00854,София,Соколова,F,Актюбинская область,Центральный район,Школа №1,ru,full,72.8,True,53.3,finalist
P00881,Мария,Соколова,F,Актюбинская область,Северный район,Школа №2,ru,full,92.9,True,36.2,finalist
P00914,Нурлан,Сериков,M,Актюбинская область,Центральный район,Школа №2,kk,full,78.7,True,69.9,finalist
P01001,Томирис,Темирбеков,F,Актюбинская область,Южный район,Школа №4,kk,full,76.0,True,51.6,finalist
P01075,Камила,Маратов,F,Актюбинская область,Сельский район,Школа №4,kk,full,69.9,True,85.5,finalist
P01240,Наргиз,Бекенов,F,Актюбинская область,Южный район,Школа №1,kk,full,79.4,True,69.3,finalist
P01313,Алмат,Касенов,M,Актюбинская область,Центральный район,Школа №5,kk,full,75.9,True,50.1,finalist
P01383,Арман,Касенов,M,Актюбинская область,Центральный район,Школа №2,kk,single,81.4,True,58.8,finalist
P01399,Бекжан,Бекенов,M,Актюбинская область,Сельский район,Школа №2,kk,full,73.0,True,75.6,finalist
P01608,Владислав,Попов,M,Актюбинская область,Заречный район,Школа №2,ru,full,79.4,True,67.3,finalist
P01616,Кирилл,Кузнецов,M,Актюбинская область,Западный район,Школа №2,ru,full,100.0,True,65.0,finalist
P01759,Дамир,Сатпаев,M,Актюбинская область,Южный район,Школа №4,kk,single,73.2,True,89.8,finalist
P01772,Арман,Маратов,M,Актюбинская область,Западный район,Школа №4,kk,full,80.4,True,65.4,finalist
P01801,Екатерина,Иванова,F,Актюбинская область,Северный район,Школа №3,ru,single,77.5,True,53.6,finalist
P01903,Анастасия,Иванова,F,Актюбинская область,Южный район,Школа №5,ru,full,72.6,True,70.1,finalist
P01959,Жансая,Нурланов,F,Актюбинская область,Сельский район,Школа №5,kk,full,70.8,True,97.0,finalist
P02236,Темирлан,Тулегенов,M,Актюбинская область,Заречный район,Школа №3,kk,full,66.0,True,80.4,finalist
P02263,Александр,Кузнецов,M,Актюбинская область,Центральный район,Школа №3,ru,single,67.5,True,69.6,finalist
P02442,Динара,Касенов,F,Актюбинская область,Южный район,Школа №4,kk,full,75.7,True,98.5,finalist
P02502,Санжар,Абилов,M,Актюбинская область,Заречный район,Школа №2,kk,full,69.5,True,66.5,finalist
P02560,Айдар,Алиев,M,Актюбинская область,Северный район,Школа №3,kk,full,68.9,True,62.4,finalist
P02635,Эльмира,Жумабеков,F,Актюбинская область,Западный район,Школа №4,kk,full,80.5,True,87.2,finalist
P02809,Елена,Лебедева,F,Актюбинская область,Южный район,Школа №3,ru,full,68.7,True,84.7,finalist
P02829,Дмитрий,Соколов,M,Актюбинская область,Сельский район,Школа №5,ru,full,69.3,True,67.3,finalist
P02859,Рамазан,Нурланов,M,Актюбинская область,Северный район,Школа №4,kk,full,72.7,True,30.8,finalist
P02870,Алина,Жумабеков,F,Актюбинская область,Южный район,Школа №1,kk,full,73.4,True,73.7,finalist
P02910,Бауыржан,Бекенов,M,Актюбинская область,Южный район,Школа №2,kk,single,67.9,True,74.4,finalist
P02951,Сауле,Темирбеков,F,Актюбинская область,Западный район,Школа №2,kk,full,73.1,True,48.0,finalist
P02957,Алина,Жумабеков,F,Актюбинская область,Центральный район,Школа №5,kk,full,69.0,True,64.5,finalist
P03077,Тимур,Сериков,M,Актюбинская область,Южный район,Школа №1,kk,full,66.6,True,64.0,finalist
P03081,Рамазан,Сатпаев,M,Актюбинская область,Сельский район,Школа №2,kk,single,67.0,True,56.6,finalist
P03300,Тимур,Маратов,M,Актюбинская область, Заречный район ,Школа №3,kk,full,72.1,True,77.4,finalist
P03399,Эльмира,Касенов,F,Актюбинская область,Центральный район,Школа №4,kk,full,89.1,True,73.1,finalist
