participant_id,first_name,last_name,gender,age,grade,region,district,school,language,family_type,round_1_score,passed_round_1,round_2_score,status
P00056,Арман,Абилов,M,16,10,Алматинская область,Западный район,Школа №4,kk,full,69.0,True,51.5,finalist
P00074,Екатерина,Лебедева,F,17,11,Алматинская область,Западный район,Школа №2,ru,full,78.5,True,46.3,finalist
P00226,Динара,Сатпаев,F,13,6,Алматинская область,Западный район,Школа №2,kk,full,71.3,True,52.1,finalist
P00244,Динара,Нурланов,F,16,9,Алматинская область,Центральный район,Школа №2,kk,full,68.0,True,72.9,finalist
P00601,Дамир,Алиев,M,12,6,Алматинская область,Сельский район,Школа №4,kk,full,66.4,True,62.7,finalist
P00655,Айдана,Нурланов,F,13,8,Алматинская область,Восточный район,Школа №4,kk,full,93.6,True,54.5,finalist
P00678,Ержан,Касенов,M,14,8,Алматинская область,Западный район,Школа №4,kk,single,75.3,True,81.1,finalist
P00724,Меруерт,Сериков,F,15,10,Алматинская область,Сельский район,Школа №1,kk,full,66.1,True,57.8,finalist
P00786,Мария,Петрова,F,16,10,Алматинская область,Северный район,Школа №2,ru,full,71.2,True,72.1,finalist
P00921,Анастасия,Волкова,F,15,10,Алматинская область,Восточный район,Школа №1,ru,full,71.1,True,80.0,finalist
P00929,Максим,Петров,M,12,6,Алматинская область,Западный район,Школа №3,ru,single,72.5,True,79.2,finalist
P01068,Никита,Иванов,M,16,10,Алматинская область,Южный район,Школа №3,ru,full,72.4,True,78.2,finalist
P01170,Анна,Лебедева,F,18,11,Алматинская область,Сельский район,Школа №3,ru,full,67.8,True,70.3,finalist
P01182,Максим,Смирнов,M,17,11,Алматинская область,Восточный район,Школа №4,ru,full,75.9,True,61.3,finalist
P01270,Ксения,Иванова,F,17,10,Алматинская область,Северный район,Школа №5,ru,full,73.5,True,70.9,finalist
P01521,Александр,Петров,M,13,8,Алматинская область,Западный район,Школа №2,ru,full,73.3,True,60.8,finalist
P01565,Тимур,Жумабеков,M,14,8,Алматинская область,Западный район,Школа №2,kk,full,66.1,True,64.7,finalist
P01863,Сауле,Жумабеков,F,9,4,Алматинская область,Заречный район,Школа №2,kk,full,66.9,True,88.2,finalist
P01925,Балжан,Маратов,F,11,4,Алматинская область,Северный район,Школа №1,kk,full,86.1,True,40.6,finalist
P01993,София,Смирнова,F,14,8,Алматинская область,Восточный район,Школа №1,ru,full,72.8,True,76.4,finalist
P02036,Андрей,Волков,M,16,9,Алматинская область,Западный район,Школа №3,ru,full,96.4,True,79.7,finalist
P02138,Андрей,Волков,M,15,9,Алматинская область,Южный район,Школа №1,ru,full,78.2,True,57.7,finalist
P02322,Михаил,Кузнецов,M,16,11,Алматинская область,Центральный район,Школа №3,ru,full,66.7,True,63.6,finalist
P02569,Данияр,Касенов,M,16,10,Алматинская область,Центральный район,Школа №4,kk,full,67.9,True,79.1,finalist
P02641,Анна,Морозова,F,12,6,Алматинская область,Заречный район,Школа №5,ru,single,76.1,True,40.2,finalist
P02739,Мария,Смирнова,F,16,9,Алматинская область,Восточный район,Школа №3,ru,full,78.3,True,67.5,finalist
P02920,София,Новикова,F,16,10,Алматинская область,Сельский район,Школа №1,ru,single,68.4,True,70.6,finalist
P02934,Иван,Волков,M,14,7,Алматинская область,Заречный район,Школа №3,ru,full,69.3,True,81.3,finalist
P03021,Айгерим,Маратов,F,14,8,Алматинская область,Северный район,Школа №5,kk,full,73.0,True,36.4,finalist
P03188,Балжан,Бекенов,F,17,11,Алматинская область,Северный район,Школа №2,kk,full,68.4,True,72.6,finalist
P03344,Томирис,Алиев,F,17,10,Алматинская область,Центральный район,Школа №5,kk,full,73.5,True,49.0,finalist
P03461,Томирис,Жумабеков,F,13,8,Алматинская область,Восточный район,Школа №4,kk,full,80.4,True,56.0,finalist
P03513,Ксения,Иванова,F,16,9,Алматинская область,Северный район,Школа №2,ru,full,80.7,True,67.9,finalist
P03660,Алихан,Маратов,M,14,9,Алматинская область,Центральный район,Школа №2,kk,full,88.2,True,66.5,finalist
P03665,Кирилл,Новиков,M,16,10,Алматинская область,Западный район,Школа №1,ru,full,72.9,True,61.1,finalist
P03962,Александр,Попов,M,15,8,Алматинская область,Западный район,Школа №5,ru,full,83.4,True,63.3,finalist
P03969,Сауле,Бекенов,F,16,11,Алматинская область,Восточный район,Школа №3,kk,full,85.2,True,71.4,finalist
P03982,Дария,Сериков,F,16,11,Алматинская область,Заречный район,Школа №4,kk,single,73.6,True,81.4,finalist
P04113,Полина,Новикова,F,15,9,Алматинская область,Сельский район,Школа №2,ru,single,72.4,True,77.7,finalist
P04400,Нурлан,Сериков,M,16,10,Алматинская область,Западный район,Школа №3,kk,full,69.1,True,72.7,finalist
P04461,Тимур,Касенов,M,15,9,Алматинская область,Центральный район,Школа №3,kk,single,66.8,True,69.6,finalist
P04569,Артём,Новиков,M,15,9,Алматинская область,Южный район,Школа №3,ru,full,76.8,True,90.9,finalist
P04629,Елена,Попова,F,17,10,Алматинская область,Северный район,Школа №1,ru,full,71.4,True,54.6,finalist
P04683,Жансая,Жумабеков,F,16,10,Алматинская область,Заречный район,Школа №2,kk,full,77.1,True,76.9,finalist
P04787,Алихан,Сатпаев,M,15,9,Алматинская область,Заречный район,Школа №4,kk,full,66.0,True,67.3,finalist
P04858,Шынгыс,Касенов,M,15,9,Алматинская область,Сельский район,Школа №5,kk,full,69.2,True,60.4,finalist
P04906,Айдана,Алиев,F,15,9,Алматинская область,Северный район,Школа №1,kk,full,68.9,True,49.9,finalist
P04917,Аяна,Сериков,F,13,7,Алматинская область,Сельский район,Школа №3,kk,full,70.9,True,80.8,finalist
P04986,Владислав,Кузнецов,M,14,7,Алматинская область,Сельский район,Школа №1,ru,full,79.5,True,60.3,finalist
