participant_id,first_name,last_name,gender,age,grade,region,district,school,language,family_type,round_1_score,passed_round_1,round_2_score,status
P00068,Данияр,Маратов,M,10,5,Атырауская область,Заречный район,Школа №4,kk,full,70.1,True,84.3,finalist
P00119,Камила,Сериков,F,12,5,Атырауская область,Заречный район,Школа №1,kk,full,72.1,True,46.0,finalist
P00307,Эльмира,Бекенов,F,11,5,Атырауская область,Южный район,Школа №3,kk,full,74.2,True,63.5,finalist
P00489,Жаныбек,Алиев,M,17,10,Атырауская область,Южный район,Школа №5,kk,full,80.3,True,56.5,finalist
P00539,Анна,Соколова,F,18,11,Атырауская область,Северный район,Школа №1,ru,full,70.1,True,50.2,finalist
P00544,Гульнара,Бекенов,F,17,11,Атырауская область,Сельский район,Школа №3,kk,full,76.6,True,62.6,finalist
P00895,Максим,Смирнов,M,14,8,Атырауская область,Южный район,Школа №1,ru,full,75.7,True,70.4,finalist
P00914,Аружан,Жумабеков,F,15,9,Атырауская область,Южный район,Школа №1,kk,single,72.7,True,69.9,finalist
P00962,Иван,Иванов,M,16,11,Атырауская область,Восточный район,Школа №4,ru,single,68.9,True,90.3,finalist
P00973,София,Лебедева,F,14,8,Атырауская область,Заречный район,Школа №2,ru,full,67.6,True,73.2,finalist
P01046,Шынгыс,Тулегенов,M,14,9,Атырауская область,Сельский район,Школа №4,kk,full,68.3,True,60.0,finalist
P01084,Аяна,Сериков,F,17,11,Атырауская область,Западный район,Школа №4,kk,full,86.2,True,66.6,finalist
P01210,Дмитрий,Попов,M,16,10,Атырауская область,Южный район,Школа №3,ru,full,81.2,True,57.1,finalist
P01216,Кирилл,Смирнов,M,15,9,Атырауская область,Западный район,Школа №2,ru,full,73.7,True,45.3,finalist
P01454,Елена,Смирнова,F,15,9,Атырауская область,Сельский район,Школа №1,ru,full,94.0,True,57.6,finalist
P01542,Сабина,Сериков,F,14,9,Атырауская область,Северный район,Школа №3,kk,full,81.6,True,32.9,finalist
P01669,Никита,Попов,M,15,10,Атырауская область,Сельский район,Школа №4,ru,full,67.6,True,69.6,finalist
P01726,Камила,Нурланов,F,13,7,Атырауская область,Сельский район,Школа №4,kk,full,71.3,True,79.4,finalist
P01772,Екатерина,Петрова,F,17,11,Атырауская область,Восточный район,Школа №5,ru,full,80.4,True,65.4,finalist
P02023,Малика,Маратов,F,15,8,Атырауская область,Центральный район,Школа №2,kk,full,75.4,True,58.3,finalist
P02176,Томирис,Алиев,F,12,5,Атырауская область,Сельский район,Школа №4,kk,full,86.3,True,69.3,finalist
P02409,Гульнара,Темирбеков,F,10,4,Атырауская область, Западный район ,Школа №1,kk,full,67.2,True,42.5,finalist
P02422,Меруерт,Маратов,F,13,7,Атырауская область,Южный район,Школа №3,kk,full,72.5,True,64.9,finalist
P02442,Алихан,Бекенов,M,16,9,Атырауская область,Южный район,Школа №5,kk,single,69.7,True,98.5,finalist
P02486,Камила,Маратов,F,10,4,Атырауская область, Восточный район ,Школа №5,kk,full,67.9,True,57.5,finalist
P02766,Ержан,Сериков,M,11,6,Атырауская область,Западный район,Школа №2,kk,full,67.3,True,64.6,finalist
P02906,Темирлан,Жумабеков,M,11,6,Атырауская область,Северный район,Школа №2,kk,full,66.3,True,64.1,finalist
P02951,Камила,Маратов,F,10,4,Атырауская область,Восточный район,Школа №5,kk,full,73.1,True,48.0,finalist
P03215,Камила,Бекенов,F,15,9,Атырауская область,Восточный район,Школа №4,kk,full,66.0,True,58.9,finalist
P03300,Айгерим,Нурланов,F,13,7,Атырауская область,Южный район,Школа №3,kk,full,72.1,True,77.4,finalist
P03331,Томирис,Сериков,F,16,9,Атырауская область,Восточный район,Школа №1,kk,full,68.7,True,62.4,finalist
P03382,Рамазан,Алиев,M,17,11,Атырауская область,Северный район,Школа №4,kk,single,66.9,True,68.7,finalist
P03417,Балжан,Маратов,F,13,7,Атырауская область,Южный район,Школа №4,kk,full,67.6,True,64.2,finalist
P03436,Томирис,Кадыров,F,11,5,Атырауская область,Заречный район,Школа №4,kk,full,68.3,True,66.8,finalist
P03532,Бауыржан,Кадыров,M,15,9,Атырауская область,Южный район,Школа №2,kk,full,82.9,True,47.7,finalist
P03554,Аружан,Абилов,F,15,10,Атырауская область,Западный район,Школа №1,kk,full,92.7,True,65.1,finalist
P03593,Сабина,Сериков,F,17,11,Атырауская область,Южный район,Школа №3,kk,single,83.6,True,88.2,finalist
P03715,Артём,Кузнецов,M,17,11,Атырауская область,Западный район,Школа №1,ru,full,70.2,True,78.3,finalist
P03847,Никита,Попов,M,16,10,Атырауская область,Южный район,Школа №4,ru,full,71.4,True,60.9,finalist
P03978,Сабина,Алиев,F,15,9,Атырауская область,Северный район,Школа №1,kk,full,76.7,True,64.4,finalist
P04128,Максим,Петров,M,12,6,Атырауская область,Южный район,Школа №1,ru,full,82.0,True,55.2,finalist
P04421,Камила,Абилов,F,14,8,Атырауская область,Северный район,Школа №3,kk,single,69.5,True,68.5,finalist
P04463,Александр,Петров,M,17,11,Атырауская область,Восточный район,Школа №2,ru,full,67.6,True,63.8,finalist
P04758,Полина,Кузнецова,F,13,6,Атырауская область,Сельский район,Школа №4,ru,full,74.2,True,59.1,finalist
