participant_id,first_name,last_name,gender,region,district,school,language,family_type,round_1_score,passed_round_1,round_2_score,status
P00008,Анна,Волкова,F,Восточно-Казахстанская область,Западный район,Школа №2,ru,full,66.5,True,70.9,finalist
P00074,Дарья,Лебедева,F,Восточно-Казахстанская область,Заречный район,Школа №3,ru,full,78.5,True,46.3,finalist
P00114,Аяна,Алиев,F,Восточно-Казахстанская область,Центральный район,Школа №4,kk,full,91.9,True,48.1,finalist
P00165,Санжар,Сатпаев,M,Восточно-Казахстанская область,Южный район,Школа №3,kk,full,69.5,True,74.5,finalist
P00204,Михаил,Волков,M,Восточно-Казахстанская область,Сельский район,Школа №4,ru,full,70.8,True,74.2,finalist
P00315,Темирлан,Маратов,M,Восточно-Казахстанская область,Западный район,Школа №3,kk,full,74.6,True,57.1,finalist
P00398,Камила,Кадыров,F,Восточно-Казахстанская область,Восточный район,Школа №4,kk,full,75.3,True,73.8,finalist
P00495,Владислав,Петров,M,Восточно-Казахстанская область,Заречный район,Школа №1,ru,single,71.8,True,70.2,finalist
P00572,Темирлан,Темирбеков,M,Восточно-Казахстанская область,Центральный район,Школа №2,kk,single,74.1,True,58.6,finalist
P00595,Андрей,Смирнов,M,Восточно-Казахстанская область,Западный район,Школа №3,ru,full,70.6,True,78.5,finalist
P00848,Екатерина,Соколова,F,Восточно-Казахстанская область,Центральный район,Школа №4,ru,full,91.8,True,53.1,finalist
P00954,Бекжан,Бекенов,M,Восточно-Казахстанская область,Южный район,Школа №1,kk,full,76.7,True,74.7,finalist
P01041,Дмитрий,Иванов,M,Восточно-Казахстанская область,Сельский район,Школа №1,ru,full,80.3,True,76.4,finalist
P01080,Екатерина,Петрова,F,Восточно-Казахстанская область,Сельский район,Школа №2,ru,full,67.8,True,81.0,finalist
P01388,Арман,Темирбеков,M,Восточно-Казахстанская область,Западный район,Школа №2,kk,full,78.4,True,47.9,finalist
P01393,Динара,Нурланов,F,Восточно-Казахстанская область,Северный район,Школа №1,kk,full,85.2,True,45.9,finalist
P01467,Шынгыс,Бекенов,M,Восточно-Казахстанская область,Западный район,Школа №1,kk,single,74.0,True,54.8,finalist
P01471,Эльмира,Кадыров,F,Восточно-Казахстанская область,Северный район,Школа №1,kk,full,72.9,True,65.5,finalist
P01499,Дарья,Волкова,F,Восточно-Казахстанская область,Южный район,Школа №4,ru,full,70.4,True,64.2,finalist
P01628,Кирилл,Соколов,M,Восточно-Казахстанская область,Южный район,Школа №4,ru,single,68.2,True,82.5,finalist
