participant_id,first_name,last_name,gender,region,district,school,language,family_type,round_1_score,passed_round_1,round_2_score,status
P00257,Айгерим,Бекенов,F,Жамбылская область,Центральный район,Школа №1,kk,full,74.0,True,60.1,finalist
P00283,Динара,Темирбеков,F,Жамбылская область,Западный район,Школа №4,kk,single,72.8,True,77.3,finalist
P00394,Ерасыл,Бекенов,M,Жамбылская область,Восточный район,Школа №5,kk,full,82.5,True,66.8,finalist
P00417,Екатерина,Кузнецова,F,Жамбылская область,Южный район,Школа №5,ru,full,78.3,True,60.4,finalist
P00429,Анна,Новикова,F,Жамбылская область,Западный район,Школа №4,ru,full,70.9,True,55.7,finalist
P00668,Томирис,Жумабеков,F,Жамбылская область,Южный район,Школа №3,kk,full,77.6,True,73.6,finalist
P00740,Динара,Нурланов,F,Жамбылская область,Заречный район,Школа №3,kk,full,70.2,True,66.2,finalist
P00932,Андрей,Иванов,M,Жамбылская область,Северный район,Школа №5,ru,full,83.2,True,55.4,finalist
P01013,Ксения,Кузнецова,F,Жамбылская область, Центральный район ,Школа №1,ru,single,80.1,True,67.4,finalist
P01110,Ержан,Маратов,M,Жамбылская область,Центральный район,Школа №1,kk,full,83.7,True,56.3,finalist
P01137,Шынгыс,Тулегенов,M,Жамбылская область,Сельский район,Школа №3,kk,full,72.8,True,78.1,finalist
P01214,Наргиз,Кадыров,F,Жамбылская область,Восточный район,Школа №1,kk,full,68.4,True,49.3,finalist
P01422,Балжан,Жумабеков,F,Жамбылская область,Восточный район,Школа №1,kk,full,71.1,True,55.1,finalist
P01498,Дария,Сатпаев,F,Жамбылская область,Западный район,Школа №3,kk,full,73.1,True,79.2,finalist
P01510,Ксения,Новикова,F,Жамбылская область,Северный район,Школа №2,ru,full,77.2,True,82.1,finalist
P01620,Ксения,Новикова,F,Жамбылская область,Заречный район,Школа №4,ru,full,72.2,True,62.3,finalist
P01665,Темирлан,Маратов,M,Жамбылская область,Северный район,Школа №1,kk,full,74.5,True,56.4,finalist
P01925,Дария,Бекенов,F,Жамбылская область,Северный район,Школа №3,kk,full,86.1,True,40.6,finalist
P02071,Андрей,Иванов,M,Жамбылская область,Центральный район,Школа №4,ru,full,69.5,True,79.5,finalist
P02090,Артём,Иванов,M,Жамбылская область,Восточный район,Школа №4,ru,single,70.8,True,75.4,finalist
P02283,Олжас,Касенов,M,Жамбылская область,Центральный район,Школа №5,kk,full,72.9,True,88.6,finalist
P02287,Никита,Попов,M,Жамбылская область,Северный район,Школа №2,ru,full,66.8,True,77.9,finalist
P02305,Камила,Сатпаев,F,Жамбылская область,Западный район,Школа №5,kk,full,84.9,True,70.5,finalist
P02312,София,Соколова,F,Жамбылская область,Центральный район,Школа №4,ru,full,81.9,True,55.9,finalist
P02422,Анастасия,Петрова,F,Жамбылская область,Восточный район,Школа №1,ru,full,72.5,True,64.9,finalist
P02508,Шынгыс,Темирбеков,M,Жамбылская область,Заречный район,Школа №3,kk,full,73.7,True,55.7,finalist
P02739,Бекжан,Сериков,M,Жамбылская область,Восточный район,Школа №3,kk,single,72.3,True,67.5,finalist
P02837,Айдана,Абилов,F,Жамбылская область,Южный район,Школа №4,kk,single,77.6,True,73.4,finalist
P02855,Динара,Кадыров,F,Жамбылская область,Западный район,Школа №5,kk,full,73.3,True,53.0,finalist
P02954,Томирис,Сериков,F,Жамбылская область,Западный район,Школа №1,kk,full,77.8,True,48.3,finalist
P03159,Алина,Кадыров,F,Жамбылская область,Центральный район,Школа №3,kk,full,74.9,True,70.2,finalist
P03193,Алина,Абилов,F,Жамбылская область,Заречный район,Школа №3,kk,full,89.2,True,64.1,finalist
P03234,Темирлан,Тулегенов,M,Жамбылская область,Центральный район,Школа №5,kk,single,77.7,True,58.1,finalist
P03348,Шынгыс,Жумабеков,M,Жамбылская область,Заречный район,Школа №2,kk,single,72.9,True,68.8,finalist
P03398,Никита,Кузнецов,M,Жамбылская область,Сельский район,Школа №5,ru,full,77.3,True,67.0,finalist
P03456,Дамир,Жумабеков,M,Жамбылская область,Заречный район,Школа №3,kk,single,79.8,True,73.8,finalist
P03687,Ержан,Сериков,M,Жамбылская область,Северный район,Школа №5,kk,single,86.3,True,51.5,finalist
P03715,Артём,Петров,M,Жамбылская область,Западный район,Школа №4,ru,full,70.2,True,78.3,finalist
P03764,Жансая,Алиев,F,Жамбылская область,Центральный район,Школа №1,kk,full,67.3,True,71.9,finalist
P03843,Полина,Морозова,F,Жамбылская область,Западный район,Школа №4,ru,full,69.7,True,64.2,finalist
P03953,Никита,Кузнецов,M,Жамбылская область, Сельский район ,Школа №3,ru,single,81.8,True,53.7,finalist
P04103,Ксения,Волкова,F,Жамбылская область,Сельский район,Школа №1,ru,full,75.3,True,73.8,finalist
P04113,Жансая,Сериков,F,Жамбылская область,Южный район,Школа №5,kk,single,72.4,True,77.7,finalist
P04128,Меруерт,Жумабеков,F,Жамбылская область,Центральный район,Школа №3,kk,full,82.0,True,55.2,finalist
P04569,Динара,Сериков,F,Жамбылская область,Сельский район,Школа №3,kk,full,76.8,True,90.9,finalist
P04906,Тимур,Алиев,M,Жамбылская область,Южный район,Школа №4,kk,full,68.9,True,49.9,finalist
P04912,Нурлан,Абилов,M,Жамбылская область,Центральный район,Школа №2,kk,full,74.9,True,76.6,finalist
P04934,Адильхан,Сатпаев,M,Жамбылская область, Восточный район ,Школа №1,kk,full,71.8,True,56.3,finalist
