participant_id,first_name,last_name,gender,region,district,school,language,family_type,round_1_score,passed_round_1,round_2_score,status
P00178,Алина,Кадыров,F,Жетысуская область,Центральный район,Школа №1,kk,single,70.8,True,42.8,finalist
P00210,Дария,Абилов,F,Жетысуская область,Сельский район,Школа №4,kk,full,100.0,True,65.7,finalist
P00623,Шынгыс,Касенов,M,Жетысуская область,Восточный район,Школа №2,kk,full,83.2,True,53.7,finalist
P00988,Дарья,Лебедева,F,Жетысуская область,Северный район,Школа №2,ru,full,68.2,True,65.5,finalist
P01024,Дария,Темирбеков,F,Жетысуская область,Сельский район,Школа №3,kk,full,87.1,True,61.7,finalist
P01292,Наргиз,Кадыров,F,Жетысуская область,Сельский район,Школа №2,kk,full,92.4,True,82.6,finalist
P01354,Никита,Петров,M,Жетысуская область,Заречный район,Школа №1,ru,full,66.4,True,73.8,finalist
P01380,Малика,Сериков,F,Жетысуская область,Восточный район,Школа №4,kk,full,82.4,True,65.9,finalist
P01454,Иван,Петров,M,Жетысуская область, Северный район ,Школа №3,ru,full,94.0,True,57.6,finalist
P01497,Екатерина,Петрова,F,Жетысуская область,Северный район,Школа №3,ru,full,85.9,True,77.0,finalist
P01661,Ержан,Маратов,M,Жетысуская область, Западный район ,Школа №3,kk,full,74.8,True,75.0,finalist
P01865,Айдана,Бекенов,F,Жетысуская область,Заречный район,Школа №1,kk,full,74.6,True,64.9,finalist
P01898,Аяна,Тулегенов,F,Жетысуская область,Сельский район,Школа №1,kk,full,79.0,True,51.5,finalist
P01985,Аян,Алиев,M,Жетысуская область,Заречный район,Школа №2,kk,full,69.3,True,50.0,finalist
P02128,Дария,Кадыров,F,Жетысуская область,Северный район,Школа №5,kk,full,71.7,True,72.5,finalist
P02138,Наргиз,Кадыров,F,Жетысуская область,Восточный район,Школа №5,kk,single,72.2,True,57.7,finalist
P02164,Айдар,Маратов,M,Жетысуская область,Западный район,Школа №3,kk,full,72.1,True,48.9,finalist
P02522,Жаныбек,Абилов,M,Жетысуская область,Западный район,Школа №1,kk,full,99.8,True,46.0,finalist
P02727,Елена,Волкова,F,Жетысуская область,Центральный район,Школа №5,ru,full,70.2,True,49.6,finalist
P02766,Малика,Алиев,F,Жетысуская область,Южный район,Школа №5,kk,full,67.3,True,64.6,finalist
P02929,Полина,Попова,F,Жетысуская область,Северный район,Школа №4,ru,full,78.7,True,68.8,finalist
P02974,Аяна,Алиев,F,Жетысуская область,Северный район,Школа №2,kk,full,84.8,True,58.9,finalist
P03004,Адильхан,Нурланов,M,Жетысуская область,Северный район,Школа №1,kk,single,77.3,True,73.6,finalist
P03264,Малика,Кадыров,F,Жетысуская область,Южный район,Школа №2,kk,single,66.6,True,64.0,finalist
P03340,Екатерина,Морозова,F,Жетысуская область, Сельский район ,Школа №4,ru,full,81.9,True,62.9,finalist
P03346,Санжар,Касенов,M,Жетысуская область,Западный район,Школа №3,kk,full,79.4,True,69.0,finalist
P03366,Жансая,Сатпаев,F,Жетысуская область,Заречный район,Школа №5,kk,full,84.3,True,69.2,finalist
P03628,Айгерим,Абилов,F,Жетысуская область,Восточный район,Школа №5,kk,full,66.5,True,76.5,finalist
P03634,Максим,Морозов,M,Жетысуская область,Заречный район,Школа №4,ru,full,66.2,True,78.8,finalist
P03693,Дана,Кадыров,F,Жетысуская область,Южный район,Школа №4,kk,single,67.3,True,71.4,finalist
P03717,Камила,Нурланов,F,Жетысуская область,Южный район,Школа №3,kk,full,100.0,True,72.7,finalist
P03728,Иван,Новиков,M,Жетысуская область,Южный район,Школа №2,ru,full,71.0,True,75.9,finalist
P03771,Меруерт,Алиев,F,Жетысуская область,Центральный район,Школа №2,kk,full,70.0,True,60.5,finalist
P04187,София,Волкова,F,Жетысуская область,Южный район,Школа №3,ru,full,90.2,True,44.5,finalist
P04567,Тимур,Темирбеков,M,Жетысуская область,Сельский район,Школа №2,kk,full,67.8,True,53.2,finalist
P04580,Данияр,Кадыров,M,Жетысуская область,Восточный район,Школа №2,kk,full,67.5,True,60.9,finalist
P04646,Темирлан,Абилов,M,Жетысуская область,Южный район,Школа №1,kk,full,79.2,True,61.5,finalist
P04970,Камила,Бекенов,F,Жетысуская область,Центральный район,Школа №1,kk,single,70.8,True,56.3,finalist
