participant_id,first_name,last_name,gender,region,district,school,language,family_type,round_1_score,passed_round_1,round_2_score,status
P00060,Данияр,Бекенов,M,Западно-Казахстанская область,Южный район,Школа №5,kk,full,69.6,True,59.9,finalist
P00066,Артём,Иванов,M,Западно-Казахстанская область,Восточный район,Школа №4,ru,full,75.3,True,62.5,finalist
P00180,Алихан,Темирбеков,M,Западно-Казахстанская область,Северный район,Школа №5,kk,single,89.8,True,65.2,finalist
P00240,Сабина,Абилов,F,Западно-Казахстанская область,Северный район,Школа №3,kk,full,67.8,True,75.1,finalist
P00501,Эльмира,Сериков,F,Западно-Казахстанская область,Сельский район,Школа №5,kk,full,68.9,True,73.4,finalist
P00615,Сауле,Тулегенов,F,Западно-Казахстанская область,Западный район,Школа №2,kk,full,91.7,True,58.9,finalist
P00652,Эльмира,Кадыров,F,Западно-Казахстанская область,Западный район,Школа №5,kk,full,71.9,True,66.0,finalist
P00910,Айдана,Кадыров,F,Западно-Казахстанская область,Заречный район,Школа №1,kk,full,87.4,True,54.2,finalist
P01133,Дамир,Алиев,M,Западно-Казахстанская область,Сельский район,Школа №2,kk,single,73.2,True,87.4,finalist
P01331,Александр,Соколов,M,Западно-Казахстанская область,Центральный район,Школа №3,ru,full,78.0,True,80.8,finalist
P01344,Алтынай,Нурланов,F,Западно-Казахстанская область,Сельский район,Школа №4,kk,single,66.9,True,63.0,finalist
P01403,Наргиз,Маратов,F,Западно-Казахстанская область,Заречный район,Школа №4,kk,full,72.8,True,60.6,finalist
P01648,Иван,Иванов,M,Западно-Казахстанская область,Заречный район,Школа №4,ru,full,69.8,True,53.8,finalist
P01696,Шынгыс,Жумабеков,M,Западно-Казахстанская область,Западный район,Школа №4,kk,full,84.1,True,52.0,finalist
P01799,Эльмира,Нурланов,F,Западно-Казахстанская область,Восточный район,Школа №1,kk,full,71.1,True,61.6,finalist
P01868,Санжар,Касенов,M,Западно-Казахстанская область,Восточный район,Школа №2,kk,full,71.9,True,55.3,finalist
P01874,Аружан,Сериков,F,Западно-Казахстанская область,Заречный район,Школа №3,kk,full,66.7,True,59.5,finalist
P01977,Олжас,Бекенов,M,Западно-Казахстанская область,Сельский район,Школа №4,kk,full,71.9,True,68.9,finalist
P02412,Михаил,Иванов,M,Западно-Казахстанская область,Южный район,Школа №5,ru,full,78.1,True,66.2,finalist
P02507,Александр,Волков,M,Западно-Казахстанская область,Южный район,Школа №4,ru,single,93.2,True,67.5,finalist
P02710,Мария,Кузнецова,F,Западно-Казахстанская область,Южный район,Школа №3,ru,single,72.5,True,54.5,finalist
P02822,Меруерт,Сатпаев,F,Западно-Казахстанская область,Западный район,Школа №4,kk,full,67.7,True,75.2,finalist
P02931,Гульнара,Кадыров,F,Западно-Казахстанская область,Северный район,Школа №3,kk,full,68.0,True,72.3,finalist
P02936,Адильхан,Сериков,M,Западно-Казахстанская область,Западный район,Школа №4,kk,single,71.1,True,75.2,finalist
P03120,Ержан,Бекенов,M,Западно-Казахстанская область,Южный район,Школа №3,kk,full,79.8,True,65.1,finalist
P03204,Алихан,Касенов,M,Западно-Казахстанская область,Сельский район,Школа №4,kk,single,68.2,True,55.4,finalist
P03209,Аружан,Касенов,F,Западно-Казахстанская область,Заречный район,Школа №5,kk,full,68.5,True,52.1,finalist
P03306,Данияр,Абилов,M,Западно-Казахстанская область,Восточный район,Школа №4,kk,full,70.9,True,74.6,finalist
P03325,Шынгыс,Абилов,M,Западно-Казахстанская область,Западный район,Школа №3,kk,full,71.6,True,65.8,finalist
P03335,Жансая,Кадыров,F,Западно-Казахстанская область,Южный район,Школа №1,kk,full,76.0,True,77.4,finalist
P03501,Меруерт,Сериков,F,Западно-Казахстанская область,Восточный район,Школа №5,kk,full,72.7,True,95.1,finalist
P03564,Сауле,Жумабеков,F,Западно-Казахстанская область,Сельский район,Школа №5,kk,full,72.9,True,67.5,finalist
P03692,Иван,Новиков,M,Западно-Казахстанская область,Южный район,Школа №5,ru,full,67.6,True,67.4,finalist
P03876,Владислав,Попов,M,Западно-Казахстанская область,Западный район,Школа №3,ru,full,72.9,True,61.0,finalist
P03903,Полина,Иванова,F,Западно-Казахстанская область,Южный район,Школа №4,ru,single,74.0,True,53.3,finalist
P04061,Екатерина,Смирнова,F,Западно-Казахстанская область,Восточный район,Школа №2,ru,full,66.2,True,63.8,finalist
P04095,Анна,Лебедева,F,Западно-Казахстанская область,Северный район,Школа №4,ru,full,73.5,True,79.6,finalist
P04123,Эльмира,Касенов,F,Западно-Казахстанская область,Сельский район,Школа №4,kk,full,69.4,True,73.2,finalist
P04193,Данияр,Сериков,M,Западно-Казахстанская область,Центральный район,Школа №4,kk,full,74.3,True,72.4,finalist
P04224,София,Смирнова,F,Западно-Казахстанская область,Восточный район,Школа №2,ru,full,72.7,True,46.6,finalist
P04263,Балжан,Касенов,F,Западно-Казахстанская область,Заречный район,Школа №5,kk,full,66.4,True,72.3,finalist
P04423,Ерасыл,Алиев,M,Западно-Казахстанская область,Западный район,Школа №1,kk,full,73.8,True,68.5,finalist
P04921,Алина,Сериков,F,Западно-Казахстанская область,Восточный район,Школа №3,kk,full,80.0,True,52.6,finalist
