participant_id,first_name,last_name,gender,age,grade,region,district,school,language,family_type,round_1_score,passed_round_1,round_2_score,status
P00267,Владислав,Смирнов,M,11,5,Карагандинская область,Северный район,Школа №3,ru,full,79.5,True,78.1,finalist
P00315,Алина,Темирбеков,F,11,5,Карагандинская область,Центральный район,Школа №1,kk,single,68.6,True,57.1,finalist
P00668,Арман,Маратов,M,16,11,Карагандинская область,Сельский район,Школа №3,kk,full,77.6,True,73.6,finalist
P00826,Малика,Касенов,F,13,7,Карагандинская область, Сельский район ,Школа №3,kk,full,76.8,True,44.9,finalist
P00980,Артём,Смирнов,M,14,9,Карагандинская область,Центральный район,Школа №5,ru,full,66.4,True,70.8,finalist
P01063,Айдар,Касенов,M,18,11,Карагандинская область,Центральный район,Школа №3,kk,single,66.2,True,60.6,finalist
P01101,Гульнара,Сериков,F,13,7,Карагандинская область,Восточный район,Школа №3,kk,full,70.0,True,57.9,finalist
P01125,Бауыржан,Жумабеков,M,15,9,Карагандинская область,Сельский район,Школа №4,kk,full,79.5,True,83.4,finalist
P01156,Кирилл,Попов,M,16,9,Карагандинская область,Сельский район,Школа №4,ru,full,70.1,True,70.4,finalist
P01159,Арман,Жумабеков,M,10,4,Карагандинская область,Восточный район,Школа №4,kk,full,69.7,True,66.1,finalist
P01496,Ксения,Кузнецова,F,9,4,Карагандинская область,Западный район,Школа №3,ru,full,85.1,True,69.6,finalist
P01501,Камила,Темирбеков,F,12,7,Карагандинская область,Восточный район,Школа №3,kk,full,66.7,True,79.7,finalist
P01875,Жаныбек,Жумабеков,M,13,8,Карагандинская область,Западный район,Школа №3,kk,full,74.7,True,48.8,finalist
P01876,Жаныбек,Жумабеков,M,14,8,Карагандинская область,Западный район,Школа №4,kk,full,75.9,True,54.2,finalist
P01881,Балжан,Нурланов,F,16,9,Карагандинская область,Северный район,Школа №3,kk,full,69.5,True,67.2,finalist
P01898,Наргиз,Абилов,F,17,11,Карагандинская область,Центральный район,Школа №2,kk,full,79.0,True,51.5,finalist
