participant_id,first_name,last_name,gender,region,district,school,language,family_type,round_1_score,passed_round_1,round_2_score,status
P00021,Гульнара,Сериков,F,Костанайская область,Центральный район,Школа №2,kk,full,77.0,True,64.3,finalist
P00157,Дария,Маратов,F,Костанайская область,Северный район,Школа №2,kk,full,83.0,True,66.6,finalist
P00203,Анна,Смирнова,F,Костанайская область,Заречный район,Школа №4,ru,full,71.2,True,66.8,finalist
P00297,Томирис,Бекенов,F,Костанайская область,Восточный район,Школа №4,kk,full,68.5,True,66.0,finalist
P00312,Рамазан,Тулегенов,M,Костанайская область,Западный район,Школа №4,kk,full,71.5,True,79.8,finalist
P00362,Жаныбек,Маратов,M,Костанайская область,Южный район,Школа №2,kk,full,78.0,True,66.4,finalist
P00388,Алина,Маратов,F,Костанайская область, Восточный район ,Школа №2,kk,full,83.1,True,46.8,finalist
P00474,Нурлан,Касенов,M,Костанайская область,Западный район,Школа №3,kk,full,75.5,True,59.0,finalist
P00553,Алтынай,Абилов,F,Костанайская область,Южный район,Школа №5,kk,full,72.5,True,62.9,finalist
P00680,Мария,Волкова,F,Костанайская область,Западный район,Школа №2,ru,full,74.1,True,59.0,finalist
P00787,Наргиз,Нурланов,F,Костанайская область,Северный район,Школа №2,kk,full,67.5,True,63.7,finalist
P00973,Кирилл,Петров,M,Костанайская область,Северный район,Школа №2,ru,full,67.6,True,73.2,finalist
P01230,Аян,Сатпаев,M,Костанайская область,Западный район,Школа №5,kk,full,88.2,True,57.4,finalist
P01257,Данияр,Маратов,M,Костанайская область,Восточный район,Школа №3,kk,single,74.1,True,81.7,finalist
P01277,Рамазан,Маратов,M,Костанайская область,Сельский район,Школа №5,kk,full,89.8,True,75.9,finalist
P01385,Нурлан,Жумабеков,M,Костанайская область,Сельский район,Школа №3,kk,full,66.1,True,70.3,finalist
P01750,Дамир,Абилов,M,Костанайская область,Южный район,Школа №5,kk,full,70.0,True,62.8,finalist
P02330,Александр,Новиков,M,Костанайская область,Южный район,Школа №5,ru,full,67.7,True,59.3,finalist
P02375,Камила,Сериков,F,Костанайская область,Заречный район,Школа №5,kk,full,71.8,True,70.6,finalist
P02499,Адильхан,Темирбеков,M,Костанайская область,Восточный район,Школа №3,kk,full,66.9,True,31.7,finalist
P02627,Арман,Кадыров,M,Костанайская область,Южный район,Школа №1,kk,full,76.1,True,78.2,finalist
P02731,Тимур,Абилов,M,Костанайская область,Северный район,Школа №5,kk,full,73.5,True,83.5,finalist
P02732,Нурлан,Касенов,M,Костанайская область,Сельский район,Школа №3,kk,full,80.3,True,67.9,finalist
P02838,Анастасия,Волкова,F,Костанайская область,Восточный район,Школа №2,ru,full,79.4,True,64.1,finalist
P02975,Дамир,Абилов,M,Костанайская область,Сельский район,Школа №2,kk,full,68.7,True,66.0,finalist
P02991,Андрей,Лебедев,M,Костанайская область,Северный район,Школа №1,ru,single,71.7,True,79.5,finalist
P03021,Бекжан,Абилов,M,Костанайская область,Сельский район,Школа №5,kk,single,67.0,True,36.4,finalist
P03381,Санжар,Темирбеков,M,Костанайская область,Северный район,Школа №5,kk,single,81.5,True,66.2,finalist
P03572,Санжар,Бекенов,M,Костанайская область,Заречный район,Школа №1,kk,full,74.7,True,69.9,finalist
P03598,Арман,Бекенов,M,Костанайская область,Центральный район,Школа №5,kk,full,70.1,True,77.6,finalist
P03689,Анастасия,Морозова,F,Костанайская область,Южный район,Школа №1,ru,single,68.1,True,89.4,finalist
P03721,Ольга,Иванова,F,Костанайская область,Северный район,Школа №1,ru,full,69.9,True,61.3,finalist
P03934,Наргиз,Жумабеков,F,Костанайская область,Заречный район,Школа №5,kk,full,66.4,True,53.2,finalist
P04021,Динара,Касенов,F,Костанайская область,Северный район,Школа №1,kk,full,87.5,True,67.3,finalist
P04029,Владислав,Попов,M,Костанайская область,Западный район,Школа №1,ru,full,79.0,True,68.5,finalist
P04030,Ольга,Новикова,F,Костанайская область,Южный район,Школа №4,ru,full,67.0,True,56.8,finalist
P04323,Сабина,Бекенов,F,Костанайская область,Центральный район,Школа №5,kk,single,67.3,True,66.2,finalist
P04472,Иван,Смирнов,M,Костанайская область,Центральный район,Школа №3,ru,single,68.3,True,83.9,finalist
P04489,Ержан,Жумабеков,M,Костанайская область,Западный район,Школа №2,kk,full,68.2,True,59.2,finalist
P04526,Кирилл,Кузнецов,M,Костанайская область,Северный район,Школа №2,ru,single,66.2,True,55.2,finalist
P04532,Сабина,Жумабеков,F,Костанайская область,Центральный район,Школа №4,kk,full,69.2,True,79.8,finalist
P04718,Аяна,Абилов,F,Костанайская область,Северный район,Школа №1,kk,full,72.8,True,52.2,finalist
P04745,Ерасыл,Сатпаев,M,Костанайская область,Центральный район,Школа №5,kk,single,73.1,True,71.9,finalist
P04971,София,Попова,F,Костанайская область,Заречный район,Школа №5,ru,full,77.9,True,54.0,finalist
