participant_id,first_name,last_name,gender,age,grade,region,district,school,language,family_type,round_1_score,passed_round_1,round_2_score,status
P00055,Темирлан,Темирбеков,M,16,10,Кызылординская область,Северный район,Школа №1,kk,full,70.5,True,50.4,finalist
P00176,Иван,Лебедев,M,15,9,Кызылординская область,Центральный район,Школа №5,ru,full,67.4,True,86.6,finalist
P00283,Тимур,Алиев,M,16,11,Кызылординская область,Северный район,Школа №1,kk,full,78.8,True,77.3,finalist
P00312,Алина,Бекенов,F,16,10,Кызылординская область,Южный район,Школа №1,kk,full,71.5,True,79.8,finalist
P00314,Ольга,Лебедева,F,17,10,Кызылординская область,Западный район,Школа №4,ru,full,67.2,True,67.3,finalist
P00327,Дария,Тулегенов,F,15,9,Кызылординская область,Восточный район,Школа №4,kk,full,72.4,True,58.8,finalist
P00388,Анастасия,Петрова,F,17,11,Кызылординская область,Восточный район,Школа №5,ru,single,77.1,True,46.8,finalist
P00419,Сабина,Нурланов,F,14,8,Кызылординская область,Сельский район,Школа №5,kk,single,66.7,True,58.2,finalist
P00468,Александр,Иванов,M,16,10,Кызылординская область,Заречный район,Школа №5,ru,full,66.4,True,68.0,finalist
P00562,Динара,Нурланов,F,11,4,Кызылординская область,Сельский район,Школа №2,kk,single,80.1,True,64.7,finalist
P00623,Бекжан,Абилов,M,16,9,Кызылординская область,Центральный район,Школа №5,kk,full,83.2,True,53.7,finalist
P00625,Айдар,Касенов,M,14,8,Кызылординская область,Восточный район,Школа №4,kk,full,78.9,True,85.6,finalist
P00699,Алтынай,Нурланов,F,16,10,Кызылординская область,Западный район,Школа №1,kk,full,68.9,True,63.7,finalist
P00738,Тимур,Бекенов,M,15,10,Кызылординская область,Восточный район,Школа №4,kk,full,69.7,True,81.9,finalist
P00988,Бауыржан,Касенов,M,11,5,Кызылординская область,Южный район,Школа №3,kk,full,68.2,True,65.5,finalist
P01025,Иван,Новиков,M,15,8,Кызылординская область,Восточный район,Школа №4,ru,full,80.9,True,61.2,finalist
P01334,Камила,Кадыров,F,14,8,Кызылординская область,Сельский район,Школа №4,kk,full,77.4,True,61.5,finalist
P01348,Аружан,Нурланов,F,12,6,Кызылординская область,Центральный район,Школа №2,kk,full,69.0,True,80.3,finalist
P01405,Алина,Жумабеков,F,17,11,Кызылординская область,Восточный район,Школа №2,kk,full,69.9,True,71.3,finalist
P01414,Дарья,Иванова,F,15,9,Кызылординская область,Южный район,Школа №4,ru,full,87.5,True,69.0,finalist
P01419,Дария,Бекенов,F,12,6,Кызылординская область,Заречный район,Школа №3,kk,full,77.9,True,70.9,finalist
P01767,Дана,Маратов,F,16,10,Кызылординская область,Южный район,Школа №1,kk,full,87.6,True,90.6,finalist
P01852,Максим,Кузнецов,M,14,8,Кызылординская область,Северный район,Школа №5,ru,single,75.6,True,55.9,finalist
P02031,Аян,Нурланов,M,13,8,Кызылординская область,Южный район,Школа №2,kk,full,67.1,True,48.6,finalist
P02245,Аружан,Абилов,F,15,9,Кызылординская область,Сельский район,Школа №3,kk,single,73.3,True,73.4,finalist
P02366,Жаныбек,Алиев,M,11,5,Кызылординская область,Сельский район,Школа №5,kk,full,78.0,True,74.2,finalist
P02483,Дарья,Лебедева,F,12,6,Кызылординская область,Северный район,Школа №5,ru,full,84.9,True,58.3,finalist
P02652,Полина,Петрова,F,16,10,Кызылординская область,Северный район,Школа №5,ru,full,77.8,True,60.4,finalist
P02689,Шынгыс,Нурланов,M,16,10,Кызылординская область,Сельский район,Школа №3,kk,full,66.4,True,62.2,finalist
P02696,Нурлан,Темирбеков,M,10,4,Кызылординская область,Северный район,Школа №4,kk,full,76.5,True,82.5,finalist
P02816,Алина,Бекенов,F,16,10,Кызылординская область,Центральный район,Школа №2,kk,full,67.2,True,66.8,finalist
P02833,Айдана,Алиев,F,14,8,Кызылординская область,Западный район,Школа №3,kk,full,78.4,True,72.7,finalist
P02843,Алмат,Алиев,M,14,9,Кызылординская область,Центральный район,Школа №5,kk,single,71.2,True,72.9,finalist
P03159,Алихан,Сатпаев,M,17,11,Кызылординская область,Северный район,Школа №4,kk,full,74.9,True,70.2,finalist
P03244,Тимур,Сериков,M,16,10,Кызылординская область,Южный район,Школа №1,kk,full,70.9,True,81.1,finalist
P03264,Данияр,Кадыров,M,17,11,Кызылординская область,Западный район,Школа №3,kk,single,66.6,True,64.0,finalist
P03313,Эльмира,Абилов,F,14,8,Кызылординская область,Центральный район,Школа №1,kk,single,80.3,True,67.9,finalist
P03325,Дарья,Иванова,F,17,11,Кызылординская область,Сельский район,Школа №1,ru,full,71.6,True,65.8,finalist
P03330,Алтынай,Алиев,F,14,9,Кызылординская область,Северный район,Школа №1,kk,full,67.5,True,63.5,finalist
P03591,Алмат,Жумабеков,M,12,6,Кызылординская область,Заречный район,Школа №5,kk,full,71.0,True,82.5,finalist
P03702,Дана,Маратов,F,13,7,Кызылординская область,Центральный район,Школа №3,kk,full,76.8,True,57.9,finalist
P03708,Дария,Маратов,F,17,10,Кызылординская область,Восточный район,Школа №2,kk,full,75.3,True,69.9,finalist
P03876,Шынгыс,Касенов,M,10,5,Кызылординская область,Заречный район,Школа №4,kk,single,66.9,True,61.0,finalist
P03903,Санжар,Жумабеков,M,9,4,Кызылординская область,Сельский район,Школа №2,kk,full,80.0,True,53.3,finalist
P04031,Михаил,Новиков,M,14,7,Кызылординская область,Северный район,Школа №1,ru,full,67.9,True,64.9,finalist
P04366,Балжан,Нурланов,F,13,8,Кызылординская область,Восточный район,Школа №2,kk,full,86.5,True,47.0,finalist
P04455,Алихан,Абилов,M,14,8,Кызылординская область,Центральный район,Школа №2,kk,full,74.0,True,74.3,finalist
P04522,Бекжан,Тулегенов,M,17,10,Кызылординская область,Западный район,Школа №5,kk,full,71.1,True,88.8,finalist
P04525,Дана,Абилов,F,10,4,Кызылординская область,Центральный район,Школа №3,kk,full,72.7,True,53.9,finalist
P04552,Айдар,Кадыров,M,17,11,Кызылординская область,Заречный район,Школа №3,kk,full,67.6,True,65.9,finalist
P04668,Артём,Иванов,M,15,10,Кызылординская область,Западный район,Школа №2,ru,single,74.0,True,60.4,finalist
P04729,Адильхан,Нурланов,M,13,8,Кызылординская область,Центральный район,Школа №5,kk,full,78.9,True,59.4,finalist
P04769,Кирилл,Попов,M,12,5,Кызылординская область,Западный район,Школа №5,ru,full,70.4,True,73.4,finalist
P04924,Эльмира,Жумабеков,F,17,11,Кызылординская область,Центральный район,Школа №5,kk,single,70.2,True,77.6,finalist
P04934,Бауыржан,Алиев,M,13,8,Кызылординская область,Заречный район,Школа №4,kk,full,71.8,True,56.3,finalist
P04977,Анна,Смирнова,F,16,10,Кызылординская область,Северный район,Школа №5,ru,single,69.7,True,85.1,finalist
