participant_id,first_name,last_name,gender,age,grade,region,district,school,language,family_type,round_1_score,passed_round_1,round_2_score,status
P00007,Артём,Новиков,M,12,6,Мангистауская область,Южный район,Школа №5,ru,single,72.7,True,77.6,finalist
P00008,Айдана,Кадыров,F,17,11,Мангистауская область,Южный район,Школа №5,kk,full,66.5,True,70.9,finalist
P00041,Балжан,Нурланов,F,15,9,Мангистауская область,Заречный район,Школа №2,kk,full,66.1,True,71.0,finalist
P00235,Аяна,Касенов,F,13,7,Мангистауская область,Северный район,Школа №3,kk,full,87.2,True,68.7,finalist
P00475,Томирис,Касенов,F,16,10,Мангистауская область,Заречный район,Школа №5,kk,full,79.7,True,63.0,finalist
P00516,Алина,Тулегенов,F,15,9,Мангистауская область,Заречный район,Школа №5,kk,full,66.3,True,46.8,finalist
P00870,Полина,Смирнова,F,16,9,Мангистауская область,Сельский район,Школа №4,ru,single,79.2,True,60.4,finalist
P00925,Данияр,Бекенов,M,13,8,Мангистауская область,Заречный район,Школа №1,kk,full,72.9,True,44.0,finalist
P00954,Алихан,Бекенов,M,13,7,Мангистауская область,Сельский район,Школа №1,kk,full,76.7,True,74.7,finalist
P01155,Владислав,Новиков,M,15,10,Мангистауская область,Сельский район,Школа №2,ru,full,79.6,True,73.7,finalist
P01214,Максим,Иванов,M,14,7,Мангистауская область,Заречный район,Школа №4,ru,full,68.4,True,49.3,finalist
P01237,Анастасия,Морозова,F,11,6,Мангистауская область,Сельский район,Школа №5,ru,full,80.2,True,57.4,finalist
P01427,Гульнара,Алиев,F,16,11,Мангистауская область,Северный район,Школа №1,kk,full,85.8,True,55.2,finalist
P01432,Алина,Сатпаев,F,12,6,Мангистауская область,Северный район,Школа №2,kk,full,67.2,True,33.6,finalist
P01497,Артём,Соколов,M,18,11,Мангистауская область,Северный район,Школа №4,ru,full,85.9,True,77.0,finalist
P01594,Максим,Новиков,M,17,10,Мангистауская область,Центральный район,Школа №5,ru,full,68.6,True,57.5,finalist
P01740,Балжан,Темирбеков,F,14,7,Мангистауская область,Западный район,Школа №2,kk,full,80.7,True,52.7,finalist
P01828,Арман,Алиев,M,11,5,Мангистауская область,Северный район,Школа №1,kk,full,76.2,True,64.9,finalist
P01882,Динара,Сатпаев,F,15,9,Мангистауская область,Южный район,Школа №4,kk,full,79.2,True,64.5,finalist
P01929,Адильхан,Темирбеков,M,17,11,Мангистауская область,Северный район,Школа №5,kk,full,71.5,True,64.2,finalist
P02186,Анастасия,Петрова,F,17,11,Мангистауская область,Заречный район,Школа №5,ru,single,72.0,True,73.2,finalist
P02312,Эльмира,Маратов,F,12,6,Мангистауская область,Северный район,Школа №5,kk,full,81.9,True,55.9,finalist
P02478,Максим,Морозов,M,11,5,Мангистауская область, Северный район ,Школа №5,ru,single,70.8,True,67.3,finalist
P02553,Динара,Тулегенов,F,12,7,Мангистауская область,Восточный район,Школа №1,kk,full,83.1,True,46.7,finalist
P02584,Артём,Петров,M,13,8,Мангистауская область,Северный район,Школа №2,ru,single,67.4,True,81.4,finalist
P02624,Сауле,Темирбеков,F,11,6,Мангистауская область,Северный район,Школа №3,kk,full,76.2,True,56.2,finalist
P02725,Екатерина,Лебедева,F,14,7,Мангистауская область,Сельский район,Школа №2,ru,full,84.4,True,84.6,finalist
P02735,Анна,Соколова,F,17,11,Мангистауская область,Заречный район,Школа №1,ru,full,84.8,True,66.4,finalist
P02838,Камила,Сериков,F,13,7,Мангистауская область, Северный район ,Школа №3,kk,single,73.4,True,64.1,finalist
P02855,Дамир,Темирбеков,M,14,8,Мангистауская область,Восточный район,Школа №5,kk,full,73.3,True,53.0,finalist
P02859,Аяна,Касенов,F,10,4,Мангистауская область,Южный район,Школа №4,kk,full,72.7,True,30.8,finalist
P02870,Аяна,Нурланов,F,17,10,Мангистауская область,Южный район,Школа №4,kk,full,73.4,True,73.7,finalist
P02954,Аян,Сериков,M,15,9,Мангистауская область,Северный район,Школа №5,kk,single,71.8,True,48.3,finalist
P02982,Ерасыл,Тулегенов,M,15,9,Мангистауская область,Северный район,Школа №1,kk,full,74.1,True,59.0,finalist
P03016,Кирилл,Соколов,M,15,9,Мангистауская область,Сельский район,Школа №2,ru,full,70.6,True,81.1,finalist
P03088,Малика,Касенов,F,15,9,Мангистауская область,Восточный район,Школа №2,kk,single,67.3,True,61.8,finalist
P03119,Артём,Попов,M,16,10,Мангистауская область,Заречный район,Школа №2,ru,full,70.7,True,62.2,finalist
P03297,Артём,Петров,M,13,7,Мангистауская область,Западный район,Школа №3,ru,single,74.1,True,88.7,finalist
P03319,Арман,Касенов,M,11,5,Мангистауская область,Сельский район,Школа №1,kk,full,71.8,True,55.1,finalist
P03381,Кирилл,Кузнецов,M,10,4,Мангистауская область,Сельский район,Школа №5,ru,single,81.5,True,66.2,finalist
P03528,Аян,Сатпаев,M,14,9,Мангистауская область,Заречный район,Школа №3,kk,full,86.0,True,67.5,finalist
P03721,Данияр,Абилов,M,17,10,Мангистауская область,Центральный район,Школа №5,kk,full,69.9,True,61.3,finalist
P03810,Полина,Новикова,F,14,8,Мангистауская область,Южный район,Школа №2,ru,full,67.2,True,74.2,finalist
P03946,Нурлан,Тулегенов,M,17,11,Мангистауская область,Восточный район,Школа №1,kk,full,68.7,True,63.2,finalist
P04134,Анна,Волкова,F,10,4,Мангистауская область,Центральный район,Школа №3,ru,full,74.1,True,68.3,finalist
P04187,Адильхан,Касенов,M,12,6,Мангистауская область,Северный район,Школа №2,kk,full,90.2,True,44.5,finalist
P04222,Бауыржан,Бекенов,M,11,5,Мангистауская область,Восточный район,Школа №1,kk,full,67.7,True,62.7,finalist
P04283,Алмат,Жумабеков,M,12,6,Мангистауская область, Южный район ,Школа №1,kk,single,66.4,True,54.9,finalist
P04587,Камила,Маратов,F,10,4,Мангистауская область,Заречный район,Школа №4,kk,full,70.3,True,69.9,finalist
P04603,Айдар,Алиев,M,15,9,Мангистауская область,Центральный район,Школа №2,kk,single,73.5,True,67.3,finalist
P04855,Ольга,Волкова,F,11,5,Мангистауская область,Заречный район,Школа №4,ru,full,72.7,True,58.2,finalist
P04882,Сабина,Тулегенов,F,18,11,Мангистауская область,Южный район,Школа №1,kk,full,75.6,True,62.1,finalist
P04912,Малика,Абилов,F,14,8,Мангистауская область,Заречный район,Школа №2,kk,full,74.9,True,76.6,finalist
