participant_id,first_name,last_name,gender,age,grade,region,district,school,language,family_type,round_1_score,passed_round_1,round_2_score,status
P00126,Ксения,Петрова,F,16,9,Павлодарская область,Сельский район,Школа №4,ru,full,87.9,True,56.8,finalist
P00210,Аяна,Касенов,F,17,11,Павлодарская область,Западный район,Школа №3,kk,single,100.0,True,65.7,finalist
P00212,Анастасия,Морозова,F,14,8,Павлодарская область,Восточный район,Школа №2,ru,full,72.0,True,52.1,finalist
P00324,Малика,Сериков,F,16,10,Павлодарская область,Северный район,Школа №2,kk,full,86.4,True,67.5,finalist
P00379,Сауле,Жумабеков,F,10,4,Павлодарская область, Сельский район ,Школа №1,kk,full,87.8,True,72.3,finalist
P00417,Санжар,Касенов,M,13,6,Павлодарская область,Сельский район,Школа №1,kk,full,78.3,True,60.4,finalist
P00502,Томирис,Алиев,F,14,8,Павлодарская область,Южный район,Школа №3,kk,full,83.6,True,71.4,finalist
P00680,Рамазан,Абилов,M,16,11,Павлодарская область,Сельский район,Школа №4,kk,single,68.1,True,59.0,finalist
P00754,Олжас,Тулегенов,M,14,9,Павлодарская область,Центральный район,Школа №4,kk,full,70.8,True,48.7,finalist
P00768,Айдар,Кадыров,M,12,5,Павлодарская область,Сельский район,Школа №3,kk,full,81.6,True,64.0,finalist
P00818,Аяна,Темирбеков,F,13,7,Павлодарская область,Западный район,Школа №3,kk,full,68.3,True,67.1,finalist
P00848,Ольга,Морозова,F,10,4,Павлодарская область,Заречный район,Школа №3,ru,single,85.8,True,53.1,finalist
P00884,Екатерина,Волкова,F,17,11,Павлодарская область,Заречный район,Школа №4,ru,full,70.7,True,47.0,finalist
P00893,Айгерим,Сериков,F,15,9,Павлодарская область,Восточный район,Школа №5,kk,full,71.0,True,48.2,finalist
P00899,Рамазан,Сериков,M,12,6,Павлодарская область,Северный район,Школа №5,kk,single,67.1,True,65.5,finalist
P00945,Анна,Попова,F,16,10,Павлодарская область,Заречный район,Школа №5,ru,full,82.7,True,70.9,finalist
P00968,Айгерим,Сатпаев,F,16,11,Павлодарская область,Центральный район,Школа №5,kk,full,82.0,True,79.7,finalist
P01275,Тимур,Бекенов,M,15,8,Павлодарская область,Северный район,Школа №5,kk,single,67.2,True,60.2,finalist
