participant_id,first_name,last_name,gender,region,district,school,language,family_type,round_1_score,passed_round_1,round_2_score,status
P00192,Данияр,Жумабеков,M,Северо-Казахстанская область,Западный район,Школа №2,kk,full,67.8,True,64.5,finalist
P00671,Ерасыл,Тулегенов,M,Северо-Казахстанская область,Центральный район,Школа №4,kk,single,67.7,True,95.0,finalist
P00692,София,Смирнова,F,Северо-Казахстанская область,Западный район,Школа №4,ru,full,72.4,True,44.0,finalist
P00708,Томирис,Нурланов,F,Северо-Казахстанская область,Сельский район,Школа №2,kk,single,75.3,True,68.6,finalist
P00710,Алмат,Касенов,M,Северо-Казахстанская область,Южный район,Школа №3,kk,full,80.4,True,87.8,finalist
P00763,Сауле,Абилов,F,Северо-Казахстанская область,Южный район,Школа №3,kk,full,93.4,True,53.2,finalist
P00827,Балжан,Кадыров,F,Северо-Казахстанская область,Северный район,Школа №3,kk,single,72.7,True,63.7,finalist
P01125,Екатерина,Кузнецова,F,Северо-Казахстанская область,Центральный район,Школа №5,ru,full,79.5,True,83.4,finalist
P01158,Артём,Соколов,M,Северо-Казахстанская область,Северный район,Школа №5,ru,single,82.8,True,54.0,finalist
P01405,Александр,Кузнецов,M,Северо-Казахстанская область,Южный район,Школа №1,ru,full,69.9,True,71.3,finalist
P01492,Алмат,Маратов,M,Северо-Казахстанская область,Сельский район,Школа №5,kk,single,87.4,True,54.1,finalist
P01630,Максим,Новиков,M,Северо-Казахстанская область,Восточный район,Школа №3,ru,full,67.8,True,70.3,finalist
P01639,Ерасыл,Сатпаев,M,Северо-Казахстанская область,Восточный район,Школа №2,kk,full,85.9,True,60.2,finalist
P01678,Дана,Сериков,F,Северо-Казахстанская область,Восточный район,Школа №3,kk,single,71.8,True,54.2,finalist
P01992,Темирлан,Тулегенов,M,Северо-Казахстанская область,Сельский район,Школа №1,kk,full,66.3,True,76.5,finalist
P02010,Ерасыл,Жумабеков,M,Северо-Казахстанская область,Центральный район,Школа №3,kk,full,69.1,True,82.3,finalist
P02179,Максим,Новиков,M,Северо-Казахстанская область,Южный район,Школа №2,ru,full,85.4,True,60.0,finalist
P02232,Дамир,Абилов,M,Северо-Казахстанская область,Центральный район,Школа №2,kk,full,66.9,True,85.3,finalist
P02245,Аружан,Алиев,F,Северо-Казахстанская область,Восточный район,Школа №2,kk,full,79.3,True,73.4,finalist
P02310,Дарья,Смирнова,F,Северо-Казахстанская область,Заречный район,Школа №1,ru,full,68.3,True,53.3,finalist
P02351,Анастасия,Петрова,F,Северо-Казахстанская область,Заречный район,Школа №2,ru,full,70.9,True,54.0,finalist
P02482,Иван,Морозов,M,Северо-Казахстанская область,Северный район,Школа №1,ru,full,80.8,True,68.5,finalist
P02525,Михаил,Волков,M,Северо-Казахстанская область,Заречный район,Школа №1,ru,full,68.8,True,64.1,finalist
P02595,Ерасыл,Маратов,M,Северо-Казахстанская область,Заречный район,Школа №1,kk,full,67.7,True,82.4,finalist
P02658,Аяна,Жумабеков,F,Северо-Казахстанская область,Центральный район,Школа №5,kk,full,68.4,True,39.4,finalist
P02802,Аружан,Абилов,F,Северо-Казахстанская область,Восточный район,Школа №2,kk,single,89.4,True,56.8,finalist
P03382,Томирис,Бекенов,F,Северо-Казахстанская область,Сельский район,Школа №4,kk,full,72.9,True,68.7,finalist
P03524,Олжас,Бекенов,M,Северо-Казахстанская область,Центральный район,Школа №1,kk,full,79.4,True,52.8,finalist
P03535,Дана,Темирбеков,F,Северо-Казахстанская область,Заречный район,Школа №2,kk,full,86.4,True,80.2,finalist
P03543,Сабина,Сериков,F,Северо-Казахстанская область,Центральный район,Школа №2,kk,full,68.2,True,56.8,finalist
P03548,Томирис,Нурланов,F,Северо-Казахстанская область,Южный район,Школа №2,kk,full,77.0,True,79.1,finalist
P03701,Сауле,Жумабеков,F,Северо-Казахстанская область,Южный район,Школа №3,kk,full,71.0,True,84.1,finalist
P03981,Ксения,Морозова,F,Северо-Казахстанская область,Заречный район,Школа №4,ru,full,75.4,True,61.3,finalist
P04083,Арман,Жумабеков,M,Северо-Казахстанская область,Южный район,Школа №2,kk,full,80.2,True,63.3,finalist
P04261,Аружан,Маратов,F,Северо-Казахстанская область,Западный район,Школа №5,kk,full,70.0,True,41.9,finalist
P04326,Дана,Сериков,F,Северо-Казахстанская область,Заречный район,Школа №2,kk,full,70.5,True,69.3,finalist
P04343,Жаныбек,Сериков,M,Северо-Казахстанская область,Северный район,Школа №4,kk,single,78.2,True,81.8,finalist
P04344,Алмат,Жумабеков,M,Северо-Казахстанская область,Центральный район,Школа №4,kk,full,70.4,True,70.3,finalist
P04402,Ержан,Алиев,M,Северо-Казахстанская область,Восточный район,Школа №2,kk,full,71.1,True,60.3,finalist
P04450,Гульнара,Маратов,F,Северо-Казахстанская область,Южный район,Школа №2,kk,single,71.5,True,73.9,finalist
P04535,Ксения,Лебедева,F,Северо-Казахстанская область,Сельский район,Школа №3,ru,full,66.1,True,74.8,finalist
P04551,Адильхан,Бекенов,M,Северо-Казахстанская область,Северный район,Школа №3,kk,full,75.9,True,69.3,finalist
P04604,Елена,Лебедева,F,Северо-Казахстанская область,Заречный район,Школа №2,ru,full,74.7,True,60.4,finalist
P04683,Кирилл,Петров,M,Северо-Казахстанская область,Западный район,Школа №3,ru,full,77.1,True,76.9,finalist
P04717,Кирилл,Смирнов,M,Северо-Казахстанская область,Восточный район,Школа №2,ru,full,90.8,True,68.1,finalist
P04977,Владислав,Лебедев,M,Северо-Казахстанская область,Западный район,Школа №2,ru,full,75.7,True,85.1,finalist
P04998,Анна,Кузнецова,F,Северо-Казахстанская область,Заречный район,Школа №3,ru,single,95.7,True,56.5,finalist
P04999,Аяна,Сатпаев,F,Северо-Казахстанская область,Заречный район,Школа №5,kk,full,67.1,True,70.9,finalist
