participant_id,first_name,last_name,gender,region,district,school,language,family_type,round_1_score,passed_round_1,round_2_score,status
P00119,Анастасия,Волкова,F,Туркестанская область,Сельский район,Школа №3,ru,single,66.1,True,46.0,finalist
P00235,Ерасыл,Маратов,M,Туркестанская область,Центральный район,Школа №2,kk,full,87.2,True,68.7,finalist
P00299,Андрей,Лебедев,M,Туркестанская область,Северный район,Школа №2,ru,full,67.2,True,73.4,finalist
P00544,Тимур,Жумабеков,M,Туркестанская область,Северный район,Школа №5,kk,full,76.6,True,62.6,finalist
P00630,Камила,Абилов,F,Туркестанская область,Северный район,Школа №2,kk,full,71.4,True,69.4,finalist
P00632,Максим,Волков,M,Туркестанская область,Заречный район,Школа №4,ru,single,71.9,True,75.4,finalist
P00820,Бауыржан,Кадыров,M,Туркестанская область,Западный район,Школа №3,kk,full,71.0,True,61.8,finalist
P00864,Алина,Бекенов,F,Туркестанская область,Заречный район,Школа №3,kk,full,81.9,True,43.5,finalist
P00884,Максим,Новиков,M,Туркестанская область,Центральный район,Школа №5,ru,full,70.7,True,47.0,finalist
P00968,Олжас,Темирбеков,M,Туркестанская область,Северный район,Школа №2,kk,full,82.0,True,79.7,finalist
P01058,Дана,Касенов,F,Туркестанская область,Заречный район,Школа №2,kk,single,66.6,True,77.3,finalist
P01220,Данияр,Абилов,M,Туркестанская область,Восточный район,Школа №4,kk,single,81.2,True,81.4,finalist
P01284,Алтынай,Сатпаев,F,Туркестанская область,Южный район,Школа №4,kk,full,69.4,True,77.2,finalist
P01432,Иван,Иванов,M,Туркестанская область,Северный район,Школа №4,ru,full,67.2,True,33.6,finalist
P01440,Меруерт,Темирбеков,F,Туркестанская область,Заречный район,Школа №4,kk,full,66.0,True,71.3,finalist
P01483,Артём,Морозов,M,Туркестанская область,Северный район,Школа №4,ru,full,80.9,True,54.4,finalist
P01711,Нурлан,Тулегенов,M,Туркестанская область,Сельский район,Школа №1,kk,full,71.6,True,77.9,finalist
P01760,Балжан,Жумабеков,F,Туркестанская область,Восточный район,Школа №5,kk,full,74.7,True,66.9,finalist
P01939,Ксения,Кузнецова,F,Туркестанская область,Восточный район,Школа №1,ru,full,71.3,True,59.8,finalist
P02100,Кирилл,Волков,M,Туркестанская область,Заречный район,Школа №3,ru,full,67.3,True,48.1,finalist
P02165,Сабина,Темирбеков,F,Туркестанская область,Южный район,Школа №5,kk,full,78.7,True,56.1,finalist
P02193,Айгерим,Темирбеков,F,Туркестанская область,Южный район,Школа №1,kk,single,79.4,True,64.0,finalist
P02252,Алтынай,Нурланов,F,Туркестанская область,Центральный район,Школа №3,kk,full,77.7,True,56.2,finalist
P02370,Олжас,Абилов,M,Туркестанская область,Южный район,Школа №2,kk,single,67.5,True,58.9,finalist
P02456,Екатерина,Лебедева,F,Туркестанская область,Сельский район,Школа №5,ru,single,71.3,True,52.4,finalist
P02472,Полина,Кузнецова,F,Туркестанская область,Восточный район,Школа №1,ru,single,84.5,True,61.3,finalist
P02667,Мария,Петрова,F,Туркестанская область,Южный район,Школа №1,ru,full,67.7,True,52.6,finalist
P02935,Гульнара,Темирбеков,F,Туркестанская область,Сельский район,Школа №2,kk,full,68.1,True,62.7,finalist
P03067,Динара,Алиев,F,Туркестанская область,Заречный район,Школа №4,kk,full,81.3,True,79.0,finalist
P03186,Анна,Смирнова,F,Туркестанская область,Центральный район,Школа №5,ru,full,75.0,True,49.1,finalist
P03189,Мария,Иванова,F,Туркестанская область,Южный район,Школа №5,ru,full,68.4,True,73.2,finalist
P03190,Елена,Волкова,F,Туркестанская область,Южный район,Школа №4,ru,full,82.4,True,76.4,finalist
P03259,Анастасия,Кузнецова,F,Туркестанская область,Восточный район,Школа №5,ru,full,72.8,True,61.1,finalist
P03344,Алина,Абилов,F,Туркестанская область,Южный район,Школа №2,kk,full,73.5,True,49.0,finalist
P03410,Ольга,Попова,F,Туркестанская область,Южный район,Школа №3,ru,full,85.7,True,64.5,finalist
P03428,Дария,Тулегенов,F,Туркестанская область,Сельский район,Школа №2,kk,full,75.8,True,54.1,finalist
P03625,Сабина,Касенов,F,Туркестанская область,Заречный район,Школа №5,kk,full,83.5,True,77.3,finalist
P03768,Алтынай,Тулегенов,F,Туркестанская область,Южный район,Школа №1,kk,full,74.6,True,67.2,finalist
P03845,Ксения,Петрова,F,Туркестанская область,Восточный район,Школа №4,ru,full,79.1,True,70.2,finalist
P03999,Жаныбек,Тулегенов,M,Туркестанская область,Южный район,Школа №4,kk,full,79.7,True,56.8,finalist
P04089,Мария,Попова,F,Туркестанская область,Сельский район,Школа №4,ru,full,72.1,True,63.4,finalist
P04115,Михаил,Лебедев,M,Туркестанская область,Северный район,Школа №1,ru,full,79.4,True,65.2,finalist
P04166,Сауле,Маратов,F,Туркестанская область,Восточный район,Школа №1,kk,full,66.9,True,64.2,finalist
