participant_id,first_name,last_name,gender,age,grade,region,district,school,language,family_type,round_1_score,passed_round_1,round_2_score,status
P00163,Дарья,Попова,F,16,10,Улытауская область,Северный район,Школа №2,ru,single,66.4,True,63.9,finalist
P00167,Бекжан,Кадыров,M,13,6,Улытауская область,Южный район,Школа №3,kk,full,67.3,True,59.0,finalist
P00180,Динара,Тулегенов,F,12,7,Улытауская область,Западный район,Школа №5,kk,full,95.8,True,65.2,finalist
P00257,Рамазан,Тулегенов,M,16,10,Улытауская область,Центральный район,Школа №3,kk,full,74.0,True,60.1,finalist
P00414,Дана,Алиев,F,15,9,Улытауская область,Восточный район,Школа №5,kk,single,68.2,True,75.5,finalist
P00580,София,Иванова,F,14,8,Улытауская область,Заречный район,Школа №4,ru,single,66.2,True,65.2,finalist
P00637,Полина,Волкова,F,15,10,Улытауская область,Сельский район,Школа №5,ru,full,67.3,True,90.0,finalist
P00823,Максим,Лебедев,M,14,9,Улытауская область,Заречный район,Школа №5,ru,full,89.5,True,51.6,finalist
P00987,Шынгыс,Касенов,M,12,6,Улытауская область,Южный район,Школа №1,kk,full,77.6,True,55.4,finalist
P01001,Бауыржан,Сатпаев,M,16,10,Улытауская область,Западный район,Школа №3,kk,single,70.0,True,51.6,finalist
P01183,Шынгыс,Сатпаев,M,17,11,Улытауская область,Центральный район,Школа №4,kk,full,68.8,True,44.2,finalist
P01372,Шынгыс,Касенов,M,11,5,Улытауская область,Сельский район,Школа №2,kk,single,74.7,True,62.7,finalist
P01408,Дамир,Сатпаев,M,13,7,Улытауская область,Центральный район,Школа №2,kk,single,71.5,True,68.7,finalist
P01578,Ольга,Петрова,F,16,9,Улытауская область,Южный район,Школа №3,ru,full,72.5,True,52.9,finalist
P01616,София,Лебедева,F,16,10,Улытауская область,Восточный район,Школа №2,ru,full,100.0,True,65.0,finalist
P01626,Шынгыс,Сериков,M,18,11,Улытауская область,Сельский район,Школа №1,kk,full,71.2,True,40.4,finalist
P01639,Данияр,Жумабеков,M,15,9,Улытауская область,Западный район,Школа №4,kk,full,85.9,True,60.2,finalist
P01708,Рамазан,Алиев,M,15,8,Улытауская область,Восточный район,Школа №1,kk,single,77.5,True,65.4,finalist
P01760,Олжас,Темирбеков,M,16,9,Улытауская область,Северный район,Школа №5,kk,full,74.7,True,66.9,finalist
P01810,Санжар,Сериков,M,17,10,Улытауская область,Западный район,Школа №1,kk,full,68.4,True,49.3,finalist
P01911,Айдар,Сериков,M,13,7,Улытауская область,Восточный район,Школа №1,kk,single,75.0,True,39.7,finalist
P01987,Томирис,Кадыров,F,15,10,Улытауская область,Северный район,Школа №1,kk,full,65.9,True,48.2,finalist
P02071,Алина,Тулегенов,F,15,9,Улытауская область,Южный район,Школа №4,kk,full,69.5,True,79.5,finalist
P02207,Бекжан,Жумабеков,M,17,11,Улытауская область,Северный район,Школа №3,kk,full,77.3,True,68.4,finalist
P02538,Нурлан,Темирбеков,M,17,11,Улытауская область,Южный район,Школа №5,kk,full,68.8,True,39.6,finalist
P02550,Арман,Сатпаев,M,14,8,Улытауская область,Заречный район,Школа №1,kk,full,86.3,True,85.2,finalist
P03004,Аян,Касенов,M,15,9,Улытауская область,Заречный район,Школа №4,kk,single,77.3,True,73.6,finalist
P03092,Александр,Волков,M,15,9,Улытауская область,Северный район,Школа №3,ru,full,66.4,True,75.2,finalist
P03234,Динара,Маратов,F,14,9,Улытауская область,Сельский район,Школа №4,kk,full,83.7,True,58.1,finalist
P03333,Санжар,Алиев,M,14,8,Улытауская область,Сельский район,Школа №4,kk,full,78.8,True,66.8,finalist
P03340,Эльмира,Жумабеков,F,14,8,Улытауская область,Центральный район,Школа №2,kk,full,81.9,True,62.9,finalist
P03374,Екатерина,Петрова,F,12,7,Улытауская область,Западный район,Школа №5,ru,single,76.1,True,35.7,finalist
P03398,Сабина,Нурланов,F,16,10,Улытауская область,Сельский район,Школа №4,kk,full,77.3,True,67.0,finalist
P03410,Адильхан,Сериков,M,13,7,Улытауская область,Восточный район,Школа №1,kk,full,85.7,True,64.5,finalist
P03462,Малика,Сатпаев,F,15,9,Улытауская область,Заречный район,Школа №3,kk,full,83.5,True,39.1,finalist
P03564,Гульнара,Абилов,F,13,8,Улытауская область,Южный район,Школа №5,kk,full,72.9,True,67.5,finalist
P03596,Аружан,Сериков,F,13,8,Улытауская область,Восточный район,Школа №1,kk,full,72.2,True,62.6,finalist
P03667,София,Петрова,F,17,11,Улытауская область,Южный район,Школа №5,ru,full,66.0,True,53.2,finalist
P03693,Аян,Маратов,M,17,11,Улытауская область,Западный район,Школа №1,kk,full,73.3,True,71.4,finalist
P03853,Айдар,Жумабеков,M,16,10,Улытауская область,Центральный район,Школа №3,kk,single,68.4,True,45.0,finalist
P03919,Тимур,Касенов,M,14,8,Улытауская область,Западный район,Школа №1,kk,full,69.2,True,44.4,finalist
P04095,Владислав,Новиков,M,14,8,Улытауская область,Заречный район,Школа №2,ru,single,67.5,True,79.6,finalist
P04139,Иван,Петров,M,12,5,Улытауская область,Заречный район,Школа №2,ru,full,68.4,True,57.7,finalist
P04261,Сауле,Тулегенов,F,10,5,Улытауская область,Восточный район,Школа №5,kk,full,70.0,True,41.9,finalist
P04540,Бекжан,Бекенов,M,15,9,Улытауская область,Заречный район,Школа №2,kk,full,66.5,True,61.4,finalist
P04580,Наргиз,Сатпаев,F,13,8,Улытауская область,Северный район,Школа №4,kk,full,67.5,True,60.9,finalist
P04919,Владислав,Попов,M,17,11,Улытауская область,Заречный район,Школа №3,ru,full,75.3,True,62.8,finalist
P04938,Мария,Волкова,F,15,10,Улытауская область,Восточный район,Школа №1,ru,full,73.4,True,75.3,finalist
P04952,Владислав,Смирнов,M,12,6,Улытауская область,Сельский район,Школа №2,ru,single,67.8,True,67.7,finalist
