participant_id,first_name,last_name,gender,age,grade,region,district,school,language,family_type,round_1_score,passed_round_1,round_2_score,status
P00032,Михаил,Лебедев,M,15,9,г. Алматы,Центральный район,Школа №2,ru,full,82.8,True,80.1,finalist
P00065,Ержан,Нурланов,M,13,7,г. Алматы,Южный район,Школа №4,kk,full,67.2,True,73.9,finalist
P00213,Ксения,Петрова,F,14,7,г. Алматы,Заречный район,Школа №1,ru,full,69.3,True,62.9,finalist
P00435,Иван,Петров,M,13,6,г. Алматы,Северный район,Школа №3,ru,full,77.5,True,73.3,finalist
P00572,Дарья,Попова,F,9,4,г. Алматы,Центральный район,Школа №1,ru,full,80.1,True,58.6,finalist
P00671,Дамир,Касенов,M,17,11,г. Алматы,Северный район,Школа №1,kk,single,67.7,True,95.0,finalist
P00756,Аяна,Бекенов,F,13,8,г. Алматы,Восточный район,Школа №5,kk,single,88.5,True,52.5,finalist
P00981,Шынгыс,Сатпаев,M,17,11,г. Алматы,Центральный район,Школа №3,kk,full,66.8,True,53.0,finalist
P01292,Меруерт,Сериков,F,12,6,г. Алматы,Центральный район,Школа №3,kk,full,92.4,True,82.6,finalist
P01294,Полина,Лебедева,F,12,6,г. Алматы,Заречный район,Школа №3,ru,full,67.6,True,70.2,finalist
P01483,Алихан,Жумабеков,M,10,4,г. Алматы,Сельский район,Школа №4,kk,single,74.9,True,54.4,finalist
P01650,Владислав,Волков,M,12,7,г. Алматы,Северный район,Школа №3,ru,full,93.8,True,67.4,finalist
P01696,Адильхан,Маратов,M,18,11,г. Алматы,Западный район,Школа №3,kk,full,84.1,True,52.0,finalist
P01730,Айдана,Темирбеков,F,15,9,г. Алматы,Центральный район,Школа №5,kk,full,82.6,True,86.4,finalist
P01750,Александр,Волков,M,9,4,г. Алматы,Северный район,Школа №1,ru,full,70.0,True,62.8,finalist
P01857,Полина,Кузнецова,F,16,10,г. Алматы,Заречный район,Школа №2,ru,full,75.9,True,66.8,finalist
P01952,Максим,Соколов,M,13,7,г. Алматы,Южный район,Школа №5,ru,full,73.9,True,79.1,finalist
P01978,Темирлан,Алиев,M,14,8,г. Алматы,Центральный район,Школа №2,kk,full,69.2,True,77.0,finalist
P01996,Адильхан,Бекенов,M,13,7,г. Алматы,Северный район,Школа №4,kk,full,71.1,True,61.4,finalist
P02330,Ержан,Сериков,M,16,9,г. Алматы,Южный район,Школа №3,kk,full,67.7,True,59.3,finalist
P02411,Дмитрий,Новиков,M,16,10,г. Алматы,Восточный район,Школа №3,ru,full,67.3,True,77.6,finalist
P02472,Наргиз,Кадыров,F,15,9,г. Алматы,Центральный район,Школа №3,kk,single,84.5,True,61.3,finalist
P02529,Аружан,Кадыров,F,14,9,г. Алматы,Южный район,Школа №1,kk,full,85.8,True,47.2,finalist
P02654,Анна,Смирнова,F,15,10,г. Алматы,Восточный район,Школа №5,ru,full,70.5,True,70.8,finalist
P02727,Нурлан,Кадыров,M,15,9,г. Алматы,Сельский район,Школа №1,kk,full,70.2,True,49.6,finalist
P02827,Айгерим,Маратов,F,14,8,г. Алматы,Центральный район,Школа №3,kk,full,73.7,True,64.3,finalist
P02837,Томирис,Сатпаев,F,14,8,г. Алматы,Сельский район,Школа №4,kk,full,83.6,True,73.4,finalist
P03067,Сабина,Бекенов,F,17,11,г. Алматы,Южный район,Школа №1,kk,single,75.3,True,79.0,finalist
P03141,Томирис,Нурланов,F,16,10,г. Алматы,Восточный район,Школа №4,kk,full,67.7,True,57.4,finalist
P03240,Дамир,Темирбеков,M,18,11,г. Алматы,Западный район,Школа №3,kk,full,69.1,True,53.4,finalist
P03273,Анна,Морозова,F,13,7,г. Алматы,Западный район,Школа №3,ru,full,68.2,True,58.6,finalist
P03395,Сауле,Сатпаев,F,14,8,г. Алматы,Восточный район,Школа №4,kk,single,78.6,True,55.0,finalist
P03496,Никита,Попов,M,15,8,г. Алматы,Восточный район,Школа №1,ru,single,78.0,True,73.9,finalist
P03568,Бауыржан,Нурланов,M,15,9,г. Алматы,Центральный район,Школа №5,kk,full,71.1,True,71.3,finalist
P03570,Камила,Жумабеков,F,16,9,г. Алматы,Южный район,Школа №4,kk,full,68.6,True,44.3,finalist
P03953,Алина,Тулегенов,F,15,9,г. Алматы,Восточный район,Школа №3,kk,full,87.8,True,53.7,finalist
P04024,Иван,Иванов,M,15,9,г. Алматы,Центральный район,Школа №4,ru,full,66.8,True,75.6,finalist
P04057,Нурлан,Сатпаев,M,16,10,г. Алматы,Центральный район,Школа №2,kk,full,76.9,True,62.8,finalist
P04166,Артём,Попов,M,16,10,г. Алматы,Западный район,Школа №4,ru,full,66.9,True,64.2,finalist
P04232,Наргиз,Темирбеков,F,16,10,г. Алматы,Центральный район,Школа №5,kk,full,75.3,True,72.8,finalist
P04289,Ксения,Лебедева,F,16,10,г. Алматы,Заречный район,Школа №5,ru,single,71.6,True,65.2,finalist
P04423,Дана,Сериков,F,13,6,г. Алматы,Центральный район,Школа №4,kk,full,73.8,True,68.5,finalist
P04473,Алихан,Сатпаев,M,14,8,г. Алматы,Центральный район,Школа №2,kk,full,74.4,True,42.7,finalist
P04478,Ержан,Кадыров,M,16,10,г. Алматы,Восточный район,Школа №1,kk,full,66.3,True,84.1,finalist
P04634,Анастасия,Петрова,F,17,10,г. Алматы,Заречный район,Школа №4,ru,full,67.6,True,56.7,finalist
P04679,Бауыржан,Сатпаев,M,12,6,г. Алматы,Центральный район,Школа №1,kk,full,67.9,True,68.4,finalist
P04856,Андрей,Смирнов,M,13,6,г. Алматы,Южный район,Школа №5,ru,full,90.2,True,72.1,finalist
P04958,Екатерина,Волкова,F,16,10,г. Алматы,Центральный район,Школа №2,ru,full,70.9,True,52.6,finalist
P04999,Томирис,Бекенов,F,16,9,г. Алматы,Сельский район,Школа №5,kk,full,67.1,True,70.9,finalist
