participant_id,first_name,last_name,gender,region,district,school,language,family_type,round_1_score,passed_round_1,round_2_score,status
P00032,Кирилл,Петров,M,г. Астана,Северный район,Школа №1,ru,full,82.8,True,80.1,finalist
P00055,Ольга,Лебедева,F,г. Астана,Северный район,Школа №4,ru,full,70.5,True,50.4,finalist
P00072,София,Петрова,F,г. Астана,Сельский район,Школа №5,ru,full,78.1,True,62.4,finalist
P00076,Владислав,Новиков,M,г. Астана,Западный район,Школа №3,ru,full,67.3,True,66.2,finalist
P00163,Анастасия,Новикова,F,г. Астана,Заречный район,Школа №5,ru,full,72.4,True,63.9,finalist
P00249,Балжан,Маратов,F,г. Астана,Восточный район,Школа №5,kk,full,81.5,True,74.8,finalist
P00324,Дмитрий,Соколов,M,г. Астана,Южный район,Школа №5,ru,single,80.4,True,67.5,finalist
P00395,Айдар,Нурланов,M,г. Астана,Западный район,Школа №2,kk,full,72.7,True,48.1,finalist
P00452,Санжар,Маратов,M,г. Астана,Заречный район,Школа №3,kk,full,69.3,True,66.3,finalist
P00516,Никита,Смирнов,M,г. Астана,Сельский район,Школа №5,ru,full,66.3,True,46.8,finalist
P00756,Рамазан,Маратов,M,г. Астана,Сельский район,Школа №2,kk,single,88.5,True,52.5,finalist
P00815,Айдана,Темирбеков,F,г. Астана,Центральный район,Школа №3,kk,full,70.5,True,35.8,finalist
P00863,Дамир,Сатпаев,M,г. Астана,Северный район,Школа №1,kk,full,78.2,True,61.0,finalist
P01040,Анна,Петрова,F,г. Астана,Сельский район,Школа №2,ru,full,70.7,True,74.8,finalist
P01043,Алмат,Абилов,M,г. Астана,Сельский район,Школа №2,kk,full,71.2,True,91.4,finalist
P01216,Аян,Касенов,M,г. Астана,Заречный район,Школа №1,kk,full,73.7,True,45.3,finalist
P01275,Эльмира,Тулегенов,F,г. Астана,Южный район,Школа №4,kk,full,73.2,True,60.2,finalist
P01297,Ксения,Лебедева,F,г. Астана,Западный район,Школа №3,ru,full,68.8,True,53.9,finalist
P01411,Иван,Смирнов,M,г. Астана,Заречный район,Школа №5,ru,full,74.9,True,70.3,finalist
P01542,Ержан,Бекенов,M,г. Астана,Восточный район,Школа №2,kk,full,81.6,True,32.9,finalist
P01578,Сауле,Тулегенов,F,г. Астана,Северный район,Школа №5,kk,full,72.5,True,52.9,finalist
P01649,Шынгыс,Темирбеков,M,г. Астана,Центральный район,Школа №2,kk,single,66.8,True,78.3,finalist
P01660,Артём,Лебедев,M,г. Астана,Южный район,Школа №5,ru,full,72.1,True,68.6,finalist
P01810,Рамазан,Нурланов,M,г. Астана,Северный район,Школа №2,kk,full,68.4,True,49.3,finalist
P01854,Алмат,Алиев,M,г. Астана,Северный район,Школа №1,kk,full,68.8,True,44.3,finalist
P01876,Михаил,Волков,M,г. Астана,Сельский район,Школа №2,ru,full,75.9,True,54.2,finalist
P02219,Айгерим,Нурланов,F,г. Астана,Восточный район,Школа №5,kk,full,86.5,True,51.6,finalist
P02230,Анна,Смирнова,F,г. Астана,Заречный район,Школа №4,ru,full,70.1,True,72.9,finalist
P02641,Артём,Петров,M,г. Астана,Заречный район,Школа №2,ru,full,82.1,True,40.2,finalist
P02718,Алтынай,Кадыров,F,г. Астана,Восточный район,Школа №2,kk,full,68.3,True,79.1,finalist
P03097,Анна,Морозова,F,г. Астана,Центральный район,Школа №2,ru,full,70.6,True,78.8,finalist
P03102,Санжар,Темирбеков,M,г. Астана,Заречный район,Школа №4,kk,full,67.8,True,56.9,finalist
P03208,София,Иванова,F,г. Астана,Восточный район,Школа №3,ru,full,67.5,True,46.3,finalist
P03276,Владислав,Морозов,M,г. Астана,Сельский район,Школа №4,ru,single,69.3,True,69.5,finalist
P03413,Тимур,Кадыров,M,г. Астана,Заречный район,Школа №4,kk,full,84.9,True,52.3,finalist
P03532,Нурлан,Темирбеков,M,г. Астана,Заречный район,Школа №1,kk,single,76.9,True,47.7,finalist
P03536,Дана,Сатпаев,F,г. Астана,Западный район,Школа №5,kk,full,78.9,True,73.5,finalist
P03545,Наргиз,Кадыров,F,г. Астана,Южный район,Школа №2,kk,single,69.6,True,65.7,finalist
P03619,Ержан,Тулегенов,M,г. Астана,Восточный район,Школа №1,kk,single,66.9,True,73.3,finalist
P03708,Алина,Маратов,F,г. Астана,Северный район,Школа №2,kk,full,75.3,True,69.9,finalist
P03905,Дамир,Жумабеков,M,г. Астана, Южный район ,Школа №4,kk,full,79.2,True,59.9,finalist
P04048,Екатерина,Кузнецова,F,г. Астана,Восточный район,Школа №5,ru,full,97.2,True,64.3,finalist
P04057,Эльмира,Бекенов,F,г. Астана,Западный район,Школа №2,kk,full,76.9,True,62.8,finalist
P04104,Ксения,Иванова,F,г. Астана,Южный район,Школа №1,ru,full,68.3,True,81.5,finalist
P04179,Адильхан,Кадыров,M,г. Астана,Южный район,Школа №3,kk,full,82.2,True,52.7,finalist
P04251,Алина,Абилов,F,г. Астана,Южный район,Школа №3,kk,full,71.1,True,55.3,finalist
P04364,Томирис,Кадыров,F,г. Астана,Восточный район,Школа №4,kk,full,72.9,True,66.7,finalist
P04400,Екатерина,Соколова,F,г. Астана,Заречный район,Школа №2,ru,full,69.1,True,72.7,finalist
P04421,Санжар,Сериков,M,г. Астана,Центральный район,Школа №1,kk,single,69.5,True,68.5,finalist
P04464,Дана,Бекенов,F,г. Астана,Центральный район,Школа №3,kk,single,66.4,True,68.1,finalist
P04473,Мария,Новикова,F,г. Астана,Сельский район,Школа №1,ru,full,74.4,True,42.7,finalist
P04478,Арман,Нурланов,M,г. Астана,Заречный район,Школа №3,kk,full,66.3,True,84.1,finalist
P04542,Айгерим,Алиев,F,г. Астана,Южный район,Школа №3,kk,full,84.2,True,58.1,finalist
P04769,Дария,Тулегенов,F,г. Астана,Западный район,Школа №1,kk,full,70.4,True,73.4,finalist
P04880,Рамазан,Сатпаев,M,г. Астана,Восточный район,Школа №1,kk,full,69.5,True,85.6,finalist
P04881,Анна,Иванова,F,г. Астана,Западный район,Школа №3,ru,full,69.9,True,65.6,finalist
P04913,Дана,Сериков,F,г. Астана,Центральный район,Школа №4,kk,full,67.4,True,56.4,finalist
