participant_id,first_name,last_name,gender,age,grade,region,district,school,language,family_type,round_1_score,passed_round_1,round_2_score,status
P00107,Иван,Смирнов,M,18,11,г. Шымкент,Центральный район,Школа №2,ru,full,83.3,True,52.6,finalist
P00136,Кирилл,Смирнов,M,15,9,г. Шымкент,Заречный район,Школа №3,ru,single,72.2,True,65.6,finalist
P00253,Жаныбек,Нурланов,M,13,6,г. Шымкент,Северный район,Школа №4,kk,full,86.8,True,59.4,finalist
P00353,София,Иванова,F,9,4,г. Шымкент,Центральный район,Школа №1,ru,full,67.9,True,67.0,finalist
P00520,Сауле,Жумабеков,F,10,4,г. Шымкент,Заречный район,Школа №2,kk,full,66.3,True,47.0,finalist
P00578,Нурлан,Бекенов,M,15,10,г. Шымкент,Заречный район,Школа №4,kk,full,66.6,True,67.3,finalist
P00827,Екатерина,Кузнецова,F,11,6,г. Шымкент,Сельский район,Школа №3,ru,full,78.7,True,63.7,finalist
P00910,Анастасия,Смирнова,F,14,7,г. Шымкент,Южный район,Школа №2,ru,full,87.4,True,54.2,finalist
P00997,Динара,Маратов,F,16,10,г. Шымкент,Сельский район,Школа №3,kk,full,82.0,True,78.8,finalist
P01009,Аян,Тулегенов,M,11,6,г. Шымкент,Восточный район,Школа №2,kk,full,70.7,True,78.7,finalist
P01049,Дария,Нурланов,F,15,9,г. Шымкент,Центральный район,Школа №1,kk,full,77.1,True,48.9,finalist
P01149,Адильхан,Абилов,M,16,10,г. Шымкент,Восточный район,Школа №4,kk,single,72.9,True,47.3,finalist
P01186,Бекжан,Касенов,M,18,11,г. Шымкент,Восточный район,Школа №2,kk,full,69.1,True,56.0,finalist
P01433,Бекжан,Нурланов,M,12,7,г. Шымкент,Восточный район,Школа №5,kk,full,67.9,True,47.2,finalist
P01438,Бекжан,Сериков,M,13,7,г. Шымкент,Центральный район,Школа №2,kk,single,73.1,True,61.6,finalist
P01457,Меруерт,Кадыров,F,17,11,г. Шымкент,Заречный район,Школа №4,kk,full,66.3,True,50.8,finalist
P01550,Артём,Лебедев,M,15,9,г. Шымкент,Заречный район,Школа №2,ru,full,73.4,True,72.0,finalist
P01564,Мария,Попова,F,12,5,г. Шымкент,Сельский район,Школа №1,ru,full,68.3,True,82.7,finalist
P01744,Динара,Бекенов,F,18,11,г. Шымкент,Центральный район,Школа №4,kk,full,72.4,True,47.1,finalist
