participant_id,first_name,last_name,gender,region,district,school,language,family_type,round_1_score,passed_round_1
P00001,Дана,Бекенов,F,Жетысуская область,Северный район,Школа №5,kk,full,62.5,False
P00002,Бауыржан,Бекенов,M,Улытауская область, Западный район ,Школа №2,kk,single,46.9,False
P00003,Меруерт,Сатпаев,F,Западно-Казахстанская область,Сельский район,Школа №2,kk,full,64.7,False
P00004,Ерасыл,Сериков,M,Актюбинская область,Восточный район,Школа №3,kk,full,77.8,True
P00005,Полина,Петрова,F,Мангистауская область,Центральный район,Школа №5,ru,single,45.5,False
P00006,Алихан,Темирбеков,M,Жетысуская область,Сельский район,Школа №1,kk,single,45.5,False
P00007,Меруерт,Касенов,F,Кызылординская область,Северный район,Школа №2,kk,full,78.7,True
P00008,Анна,Волкова,F,Восточно-Казахстанская область,Западный район,Школа №2,ru,full,66.5,True
P00009,Михаил,Кузнецов,M,Костанайская область,Сельский район,Школа №1,ru,full,48.0,False
P00010,Дамир,Сериков,M,Жамбылская область,Западный район,Школа №3,kk,full,63.1,False
P00011,Ольга,Смирнова,F,Западно-Казахстанская область,Северный район,Школа №5,ru,full,48.0,False
P00012,Томирис,Нурланов,F,Кызылординская область,Северный район,Школа №2,kk,full,48.0,False
P00013,Алмат,Алиев,M,Восточно-Казахстанская область,Сельский район,Школа №5,kk,full,58.6,False
P00014,Михаил,Соколов,M,г. Алматы,Сельский район,Школа №1,ru,full,26.3,False
P00015,Динара,Сериков,F,Карагандинская область,Восточный район,Школа №1,kk,single,23.1,False
P00016,Сабина,Алиев,F,Улытауская область,Центральный район,Школа №3,kk,single,40.6,False
P00017,Жансая,Алиев,F,г. Алматы,Сельский район,Школа №1,kk,full,39.8,False
P00018,Жансая,Жумабеков,F,Жетысуская область,Центральный район,Школа №5,kk,single,53.7,False
P00019,Алихан,Тулегенов,M,Атырауская область,Северный район,Школа №5,kk,full,41.4,False
P00020,Балжан,Тулегенов,F,Жамбылская область,Заречный район,Школа №3,kk,full,33.8,False
P00021,Гульнара,Сериков,F,Костанайская область,Центральный район,Школа №2,kk,full,77.0,True
P00022,Александр,Кузнецов,M,Актюбинская область,Центральный район,Школа №1,ru,full,51.6,False
P00023,Темирлан,Алиев,M,г. Астана,Западный район,Школа №4,kk,single,50.0,False
P00024,Нурлан,Кадыров,M,Павлодарская область,Восточный район,Школа №1,kk,full,33.6,False
P00025,Камила,Маратов,F,Костанайская область,Сельский район,Школа №2,kk,full,46.8,False
P00026,Аяна,Жумабеков,F,Северо-Казахстанская область,Северный район,Школа №1,kk,full,56.7,False
P00027,Айдана,Касенов,F,г. Алматы, Сельский район ,Школа №1,kk,single,31.7,False
P00028,Наргиз,Абилов,F,Жамбылская область,Сельский район,Школа №1,kk,full,60.6,False
P00029,Олжас,Жумабеков,M,Павлодарская область,Заречный район,Школа №5,kk,full,46.0,False
P00030,Балжан,Темирбеков,F,г. Астана,Заречный район,Школа №3,kk,full,50.6,False
P00031,Сабина,Алиев,F,Акмолинская область,Западный район,Школа №2,kk,full,46.0,False
P00032,Кирилл,Петров,M,г. Астана,Северный район,Школа №1,ru,full,82.8,True
P00033,Санжар,Кадыров,M,Западно-Казахстанская область,Северный район,Школа №3,kk,full,54.8,False
P00034,Дмитрий,Новиков,M,Костанайская область,Сельский район,Школа №1,ru,full,39.1,False
P00035,Анна,Морозова,F,Жамбылская область,Западный район,Школа №3,ru,single,61.3,False
P00036,Аяна,Абилов,F,г. Алматы,Заречный район,Школа №5,kk,full,36.7,False
P00037,Алтынай,Алиев,F,Западно-Казахстанская область,Центральный район,Школа №5,kk,full,58.1,False
P00038,Ерасыл,Бекенов,M,Западно-Казахстанская область,Западный район,Школа №1,kk,full,25.6,False
P00039,Адильхан,Кадыров,M,Атырауская область,Заречный район,Школа №2,kk,single,29.1,False
P00040,Айгерим,Сериков,F,Актюбинская область,Заречный район,Школа №5,kk,full,58.0,False
P00041,Нурлан,Алиев,M,Акмолинская область,Южный район,Школа №1,kk,single,60.1,False
P00042,Алмат,Кадыров,M,г. Алматы,Сельский район,Школа №5,kk,single,51.6,False
P00043,Аяна,Алиев,F,Павлодарская область,Центральный район,Школа №3,kk,single,47.3,False
P00044,Владислав,Соколов,M,Восточно-Казахстанская область,Сельский район,Школа №4,ru,single,44.5,False
P00045,Меруерт,Кадыров,F,Карагандинская область,Сельский район,Школа №2,kk,full,32.8,False
P00046,Дана,Сериков,F,Западно-Казахстанская область,Южный район,Школа №4,kk,full,44.2,False
P00047,Айгерим,Сериков,F,Западно-Казахстанская область,Северный район,Школа №3,kk,full,48.1,False
P00048,Динара,Нурланов,F,г. Шымкент,Западный район,Школа №5,kk,full,70.9,True
P00049,Санжар,Тулегенов,M,Жамбылская область,Южный район,Школа №3,kk,full,60.2,False
P00050,Дария,Тулегенов,F,Карагандинская область,Заречный район,Школа №4,kk,full,28.6,False
P00051,Камила,Касенов,F,Восточно-Казахстанская область,Западный район,Школа №4,kk,full,59.9,False
